name_ascii,name_diacritics,designation,id,id_greek,con,num,wsd_j,mag,bnd,hip,hd,ra,dec,date
Absolutno,Absolutno,XO-5,,,Lyn,,,11.95,G,,,116.716506,39.094572,2019-12-17
Acamar,Acamar,HR897,tet01,θ1,Eri,A,02583-4018,2.88,V,13847,18622,44.565311,-40.304672,2016-07-20
Achernar,Achernar,HR472,alf,α,Eri,A,,0.45,V,7588,10144,24.428523,-57.236753,2016-06-30
Achird,Achird,HR219,eta,η,Cas,A,00491+5749,3.46,V,3821,4614,12.276213,57.815187,2017-09-05
Acrab,Acrab,HR5984,bet,β,Sco,Aa,16054-1948,2.56,V,78820,144217,241.359300,-19.805453,2016-08-21
Acrux,Acrux,HR4730,alf,α,Cru,Aa,12266-6306,1.33,V,60718,108248,186.649563,-63.099093,2016-07-20
Acubens,Acubens,HR3572,alf,α,Cnc,Aa,08585+1151,4.26,V,44066,76756,134.621761,11.857700,2016-07-20
Adhafera,Adhafera,HR4031,zet,ζ,Leo,Aa,10167+2325,3.43,V,50335,89025,154.172567,23.417312,2016-07-20
Adhara,Adhara,HR2618,eps,ε,CMa,A,06586-2858,1.50,V,33579,52089,104.656453,-28.972086,2016-08-21
Adhil,Adhil,HR390,ksi,ξ,And,,,4.87,V,6411,8207,20.585080,45.528778,2016-08-21
Ain,Ain,HR1409,eps,ε,Tau,Aa1,04286+1911,3.53,V,20889,28305,67.154163,19.180435,2015-12-15
Ainalrami,Ainalrami,HR7116,nu01,ν1,Sgr,A,18542-2245,4.86,V,92761,174974,283.542404,-22.744840,2017-09-05
Aladfar,Aladfar,HR7298,eta,η,Lyr,Aa,19138+3909,4.43,V,94481,180163,288.439531,39.145970,2017-09-05
Alasia,Alasia,HD168746,,,Ser,,18218-1155,7.95,V,90004,168746,275.457428,-11.922682,2019-12-17
Albaldah,Albaldah,HR7264,pi,π,Sgr,A,19098-2101,2.88,V,94141,178524,287.440971,-21.023615,2017-09-05
Albali,Albali,HR7950,eps,ε,Aqr,,,3.78,V,102618,198001,311.918969,-9.495775,2016-09-12
Albireo,Albireo,HR7417,bet,β,Cyg,Aa,19307+2758,3.37,V,95947,183912,292.680351,27.959692,2016-07-20
Alchiba,Alchiba,HR4623,alf,α,Crv,,,4.02,V,59199,105452,182.103402,-24.728875,2016-09-12
Alcor,Alcor,HR5062,80,80,UMa,Ca,13239+5456,3.99,V,65477,116842,201.306403,54.987954,2016-06-30
Alcyone,Alcyone,HR1165,eta,η,Tau,A,03475+2406,2.85,V,17702,23630,56.871152,24.105136,2016-06-30
Aldebaran,Aldebaran,HR1457,alf,α,Tau,,04359+1631,0.87,V,21421,29139,68.980163,16.509302,2016-06-30
Alderamin,Alderamin,HR8162,alf,α,Cep,,21186+6235,2.45,V,105199,203280,319.644885,62.585574,2016-07-20
Aldhanab,Aldhanab,HR8353,gam,γ,Gru,,,3.00,V,108085,207971,328.482192,-37.364855,2017-09-05
Aldhibah,Aldhibah,HR6396,zet,ζ,Dra,A,17088+6543,3.17,V,83895,155763,257.196650,65.714684,2017-09-05
Aldulfin,Aldulfin,HR7852,eps,ε,Del,,,4.03,V,101421,195810,308.303216,11.303261,2017-09-05
Alfirk,Alfirk,HR8238,bet,β,Cep,Aa,21287+7034,3.23,V,106032,205021,322.164987,70.560715,2016-08-21
Algedi,Algedi,HR7754,alf02,α2,Cap,,20181-1233,3.58,V,100064,192947,304.513566,-12.544852,2016-08-21
Algenib,Algenib,HR39,gam,γ,Peg,,00132+1511,2.83,V,1067,886,3.308963,15.183594,2016-06-30
Algieba,Algieba,HR4057,gam01,γ1,Leo,,10200+1950,2.61,V,50583,89484,154.993144,19.841489,2016-07-20
Algol,Algol,HR936,bet,β,Per,Aa1,03082+4057,2.09,V,14576,19356,47.042215,40.955648,2016-06-30
Algorab,Algorab,HR4757,del,δ,Crv,A,12299-1631,2.94,V,60965,108767,187.466063,-16.515431,2016-07-20
Alhena,Alhena,HR2421,gam,γ,Gem,Aa,06377+1624,1.93,V,31681,47105,99.427960,16.399280,2016-07-20
Alioth,Alioth,HR4905,eps,ε,UMa,A,12540+5558,1.76,V,62956,112185,193.507290,55.959823,2016-06-30
Aljanah,Aljanah,HR7949,eps,ε,Cyg,Aa,20462+3358,2.48,V,102488,197989,311.552843,33.970257,2017-06-30
Alkaid,Alkaid,HR5191,eta,η,UMa,,,1.85,V,67301,120315,206.885157,49.313267,2016-06-30
Alkalurops,Alkalurops,HR5733,mu01,μ1,Boo,Aa,15245+3723,4.31,V,75411,137391,231.122618,37.377169,2016-08-21
Alkaphrah,Alkaphrah,HR3594,kap,κ,UMa,A,09036+4709,4.16,V,44471,77327,135.906365,47.156525,2017-09-05
Alkarab,Alkarab,HR8905,ups,υ,Peg,,,4.42,V,115623,220657,351.344931,23.404100,2017-09-05
Alkes,Alkes,HR4287,alf,α,Crt,,,4.08,V,53740,95272,164.943604,-18.298783,2016-09-12
Almaaz,Almaaz,HR1605,eps,ε,Aur,,05020+4349,3.03,V,23416,31964,75.492219,43.823307,2017-02-01
Almach,Almach,HR603,gam,γ,And,A,02039+4220,2.10,V,9640,12533,30.974804,42.329725,2016-07-20
Alnair,Alnair,HR8425,alf,α,Gru,,22082-4658,1.73,V,109268,209952,332.058270,-46.960974,2016-07-20
Alnasl,Alnasl,HR6746,gam02,γ2,Sgr,,,2.98,V,88635,165135,271.452025,-30.424100,2016-08-21
Alnilam,Alnilam,HR1903,eps,ε,Ori,,05362-0112,1.69,V,26311,37128,84.053389,-1.201919,2016-07-20
Alnitak,Alnitak,HR1948,zet,ζ,Ori,Aa,05407-0157,1.74,V,26727,37742,85.189694,-1.942574,2016-07-20
Alniyat,Alniyat,HR6084,sig,σ,Sco,Aa1,16212-2536,2.90,V,80112,147165,245.297149,-25.592792,2017-02-01
Alphard,Alphard,HR3748,alf,α,Hya,,09276-0840,1.99,V,46390,81797,141.896847,-8.658602,2016-07-20
Alphecca,Alphecca,HR5793,alf,α,CrB,,,2.22,V,76267,139006,233.671950,26.714693,2016-07-20
Alpheratz,Alpheratz,HR15,alf,α,And,Aa,00084+2905,2.07,V,677,358,2.096916,29.090431,2016-06-30
Alpherg,Alpherg,HR437,eta,η,Psc,A,01315+1521,3.83,V,7097,9270,22.870873,15.345823,2018-06-01
Alrakis,Alrakis,HR6370,mu,μ,Dra,A,17053+5428,5.55,V,83608,154906,256.333807,54.470078,2017-02-01
Alrescha,Alrescha,HR596,alf,α,Psc,A,02020+0246,3.82,V,9487,12446,30.511772,2.763735,2016-08-21
Alruba,Alruba,HR6618,,,Dra,,,5.75,V,86782,161693,265.996568,53.801715,2018-06-01
Alsafi,Alsafi,HR7462,sig,σ,Dra,,19324+6940,4.67,V,96100,185144,293.089960,69.661176,2017-06-30
Alsciaukat,Alsciaukat,HR3275,31,31,Lyn,,,4.25,V,41075,70272,125.708792,43.188131,2017-06-30
Alsephina,Alsephina,HR3485,del,δ,Vel,Aa,08447-5443,1.99,V,42913,74956,131.175944,-54.708819,2017-09-05
Alshain,Alshain,HR7602,bet,β,Aql,A,19553+0624,3.71,V,98036,188512,298.828304,6.406763,2016-08-21
Alshat,Alshat,HR7773,nu,ν,Cap,A,20207-1246,4.77,V,100310,193432,305.165898,-12.759079,2017-06-30
Altair,Altair,HR7557,alf,α,Aql,,19508+0852,0.76,V,97649,187642,297.695827,8.868321,2016-06-30
Altais,Altais,HR7310,del,δ,Dra,,19126+6740,3.07,V,94376,180711,288.138750,67.661541,2016-08-21
Alterf,Alterf,HR3773,lam,λ,Leo,,,4.32,V,46750,82308,142.930115,22.967970,2017-02-01
Aludra,Aludra,HR2827,eta,η,CMa,,07241-2918,2.45,V,35904,58350,111.023760,-29.303106,2016-07-20
AlulaAustralis,AlulaAustralis,HR4375,ksi,ξ,UMa,Aa,11182+3132,4.41,V,55203,98231,169.545423,31.529161,2016-07-20
AlulaBorealis,AlulaBorealis,HR4377,nu,ν,UMa,,11185+3306,3.49,V,55219,98262,169.619737,33.094305,2016-07-20
Alya,Alya,HR7141,tet01,θ1,Ser,A,18562+0412,4.62,V,92946,175638,284.054949,4.203602,2016-08-21
Alzirr,Alzirr,HR2484,ksi,ξ,Gem,,,3.35,V,32362,48737,101.322351,12.895592,2017-06-30
Amadioha,Amadioha,HD43197,,,CMa,,,8.98,V,29550,43197,93.398590,-29.897264,2019-12-17
Amansinaya,Amansinaya,WASP-34,,,Crt,,,10.30,V,,,165.399575,-23.860662,2019-12-17
Anadolu,Anadolu,WASP-52,,,Peg,,,11.95,G,,,348.494823,8.761270,2019-12-17
Ancha,Ancha,HR8499,tet,θ,Aqr,,,4.17,V,110003,211391,334.208485,-7.783291,2016-09-12
Angetenar,Angetenar,HR850,tau02,τ2,Eri,,02510-2100,4.76,V,13288,17824,42.759674,-21.004018,2017-06-30
Aniara,Aniara,HD102956,,,UMa,,,7.86,V,57820,102956,177.843796,57.640734,2019-12-17
Ankaa,Ankaa,HR99,alf,α,Phe,,00263-4218,2.40,V,2081,2261,6.570939,-42.306084,2016-07-20
Anser,Anser,HR7405,alf,α,Vul,,19287+2440,4.44,V,95771,183439,292.176375,24.664903,2017-06-30
Antares,Antares,HR6134,alf,α,Sco,A,16294-2626,1.06,V,80763,148478,247.351915,-26.432003,2016-06-30
Arcalis,Arcalís,HD131496,,,Boo,,,7.80,V,72845,131496,223.345951,18.235409,2019-12-17
Arcturus,Arcturus,HR5340,alf,α,Boo,,14157+1911,-0.05,V,69673,124897,213.915300,19.182409,2016-06-30
ArkabPosterior,ArkabPosterior,HR7343,bet02,β2,Sgr,,,4.27,V,95294,181623,290.804740,-44.799779,2016-10-05
ArkabPrior,ArkabPrior,HR7337,bet01,β1,Sgr,,19226-4428,3.96,V,95241,181454,290.659551,-44.458959,2016-10-05
Arneb,Arneb,HR1865,alf,α,Lep,A,05327-1749,2.58,V,25985,36673,83.182567,-17.822289,2016-07-20
Ascella,Ascella,HR7194,zet,ζ,Sgr,A,19026-2953,2.60,V,93506,176687,285.653043,-29.880063,2016-09-12
AsellusAustralis,AsellusAustralis,HR3461,del,δ,Cnc,Aa,08447+1809,3.94,V,42911,74442,131.171248,18.154309,2016-11-06
AsellusBorealis,AsellusBorealis,HR3449,gam,γ,Cnc,Aa,08433+2128,4.66,V,42806,74198,130.821442,21.468501,2016-11-06
Ashlesha,Ashlesha,HR3482,eps,ε,Hya,A,08468+0625,3.49,V,43109,74874,131.693794,6.418809,2018-06-01
Aspidiske,Aspidiske,HR3699,iot,ι,Car,,,2.21,V,45556,80404,139.272529,-59.275232,2016-07-20
Asterope,Asterope,HR1151,21,21,Tau,A,03459+2433,5.76,V,17579,23432,56.476987,24.554512,2016-08-21
Atakoraka,Atakoraka,WASP-64,,,CMa,,06445-3252,12.53,G,,,101.115022,-32.858383,2019-12-17
Athebyne,Athebyne,HR6132,eta,η,Dra,A,16240+6131,2.73,V,80331,148387,245.997858,61.514214,2017-09-05
Atik,Atik,HR1131,omi,ο,Per,A,03443+3217,3.84,V,17448,23180,56.079720,32.288240,2016-09-12
Atlas,Atlas,HR1178,27,27,Tau,Aa1,03492+2403,3.62,V,17847,23850,57.290597,24.053415,2016-08-21
Atria,Atria,HR6217,alf,α,TrA,,16487-6902,1.91,V,82273,150798,252.166229,-69.027712,2016-07-20
Avior,Avior,HR3307,eps,ε,Car,A,08225-5931,1.86,V,41037,71129,125.628480,-59.509484,2016-07-20
Axolotl,Axólotl,HD224693,,,Cet,,,8.23,V,118319,224693,359.974298,-22.428116,2019-12-17
Ayeyarwady,Ayeyarwady,HD18742,,,Eri,,,7.81,V,13993,18742,45.044402,-20.802604,2019-12-17
Azelfafage,Azelfafage,HR8301,pi01,π1,Cyg,,,4.69,V,107136,206672,325.523602,51.189623,2016-09-12
Azha,Azha,HR874,eta,η,Eri,,,3.89,V,13701,18322,44.106873,-8.898145,2016-09-12
Azmidi,Azmidi,HR3045,ksi,ξ,Pup,,07493-2452,3.45,V,38170,63700,117.323563,-24.859786,2018-06-01
Baekdu,Baekdu,HD133086,8,8,UMi,,14568+7454,6.83,V,73136,133086,224.201473,74.900923,2019-12-17
Barnard'sStar,Barnard'sStar,GJ699,V2500,V2500,Oph,,,9.54,V,87937,,269.454023,4.668288,2017-02-01
BatenKaitos,BatenKaitos,HR539,zet,ζ,Cet,Aa,01515-1020,3.74,V,8645,11353,27.865137,-10.335044,2016-09-12
Beemim,Beemim,HR1393,ups03,υ3,Eri,,,3.97,V,20535,28028,66.009239,-34.016848,2017-06-30
Beid,Beid,HR1298,omi01,ο1,Eri,,,4.04,V,19587,26574,62.966415,-6.837580,2016-09-12
Belel,Belel,HD181342,,,Sgr,,,7.55,V,95124,181342,290.267627,-23.619570,2019-12-17
Belenos,Bélénos,HD8574,,,Psc,,,7.12,V,6643,8574,021.302148,28.566695,2019-12-17
Bellatrix,Bellatrix,HR1790,gam,γ,Ori,,05251+0621,1.64,V,25336,35468,81.282764,6.349703,2016-06-30
Berehynia,Berehynia,HAT-P-15,,,Per,,,11.72,G,,,066.248062,39.460642,2019-12-17
Betelgeuse,Betelgeuse,HR2061,alf,α,Ori,Aa,05552+0724,0.45,V,27989,39801,88.792939,7.407064,2016-06-30
Bharani,Bharani,HR838,41,41,Ari,Aa,02500+2716,3.61,V,13209,17573,42.495972,27.260507,2017-06-30
Bibha,Bibhā,HD86081,,,Sex,,,8.73,V,48711,86081,149.024661,-3.808423,2019-12-17
Biham,Biham,HR8450,tet,θ,Peg,,,3.52,V,109427,210418,332.549939,6.197863,2016-08-21
Bosona,Bosona,HD206610,,,Aqr,,,8.34,V,107251,206610,325.853751,-7.408253,2019-12-17
Botein,Botein,HR951,del,δ,Ari,,,4.35,V,14838,19787,47.907356,19.726674,2016-09-12
Brachium,Brachium,HR5603,sig,σ,Lib,A,15041-2517,3.25,V,73714,133216,226.017567,-25.281961,2017-09-05
Bubup,Bubup,HD38283,,,Men,,,6.69,V,26380,38283,84.258403,-73.699346,2019-12-17
Buna,Buna,HD16175,,,And,,,7.28,V,12191,16175,39.257963,42.062630,2019-12-17
Bunda,Bunda,HR8264,ksi,ξ,Aqr,A,21378-0751,4.80,V,106786,205767,324.437956,-7.854202,2018-06-01
Canopus,Canopus,HR2326,alf,α,Car,A,06240-5242,-0.62,V,30438,45348,95.987958,-52.695661,2016-06-30
