object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type_text
111,Deepsky,OpenCluster,85.33333333,11.1,,,,,,,1,188,,Cep,8.1,,4800,6BFFBFFF,Open Cluster
112,Deepsky,PlanetaryNebula,72.53333333,3.25,Bow Tie Nebula,,,,,,2,40,,Cep,11.6,,3500,6BFFBFFF,Planetary Nebula
113,Deepsky,Galaxy,69.46666667,184.175,,,,,,,3,4236,,Dra,9.7,,7000000,6BFFBFFF,Barred Spiral Galaxy
114,Deepsky,Nebula,68.2,315.45,Iris Nebula,,,,,,4,7023,,Cep,6.8,,1400,6BFFBFFF,Blushing Nebula
115,Deepsky,Galaxy,68.1,56.7,,,,,,,5,,342,Cam,9.2,,13000000,6BFFBFFF,Spiral Galaxy
116,Deepsky,PlanetaryNebula,66.63333333,269.65,Cat's Eye Nebula,,,,,,6,6543,,Dra,8.8,,3000,6BFFBFFF,Planetary Nebula
117,Deepsky,Galaxy,65.6,114.225,,,,,,,7,2403,,Cam,8.9,,14000000,6BFFBFFF,Spiral Galaxy
118,Deepsky,OpenCluster,63.3,22.375,,,,,,,8,559,,Cas,9.5,,3700,6BFFBFFF,Open Cluster
119,Deepsky,Nebula,62.61666667,344.2,Cave Nebula,,,,,,9,,,Cep,7.7,,2800,6BFFBFFF,Blushing Nebula
120,Deepsky,OpenCluster,61.25,26.5,,,,,,,10,663,,Cas,7.1,,7200,6BFFBFFF,Open Cluster
121,Deepsky,Nebula,61.2,350.175,Bubble nebula,,,,,,11,7635,,Cas,7,,7100,6BFFBFFF,Blushing Nebula
122,Deepsky,Galaxy,60.15,308.7,,,,,,,12,6946,,Cyg,9.7,,18000000,6BFFBFFF,Spiral Galaxy
123,Deepsky,OpenCluster,58.33333333,19.775,Dragonfly Cluster;E.T. Cluster;Owl Cluster;Kachina Doll Cluster;Phi Cassiopeiae Cluster,,,,,,13,457,,Cas,6.4,,7922,6BFFBFFF,Open Cluster
124,Deepsky,OpenCluster,57.13333333,35,"Double Cluster, h & chi Persei",,,,,,14,869,,Per,4.3,,7300,6BFFBFFF,Open Cluster
125,Deepsky,PlanetaryNebula,50.51666667,296.2,Blinking Planetary,,,,,,15,6826,,Cyg,9.8,,2200,6BFFBFFF,Planetary Nebula
126,Deepsky,OpenCluster,49.88333333,333.825,,,,,,,16,7243,,Lac,6.4,,2500,6BFFBFFF,Open Cluster
127,Deepsky,Galaxy,48.5,8.3,,,,,,,17,147,,Cas,9.3,,2300000,6BFFBFFF,Elliptical Galaxy
128,Deepsky,Galaxy,48.33333333,9.75,,,,,,,18,185,,Cas,9.2,,2300000,6BFFBFFF,Elliptical Galaxy
129,Deepsky,Nebula,47.26666667,328.375,Cocoon Nebula,,,,,,19,,5146,Cyg,10,,3300,6BFFBFFF,Blushing Nebula
130,Deepsky,Nebula,44.33333333,314.7,North America Nebula,,,,,,20,7000,,Cyg,6,,1800,6BFFBFFF,Blushing Nebula
131,Deepsky,Galaxy,44.1,187.05,,,,,,,21,4449,,CVn,9.4,,10000000,6BFFBFFF,Irregular Galaxy
132,Deepsky,PlanetaryNebula,42.55,351.475,Blue Snowball,,,,,,22,7662,,And,9.2,,3200,6BFFBFFF,Planetary Nebula
133,Deepsky,Galaxy,42.35,35.65,,,,,,,23,891,,And,9.9,,31000000,6BFFBFFF,Barred Spiral Galaxy
134,Deepsky,Galaxy,41.51666667,49.95,Perseus A,,,,,,24,1275,,Per,11.6,,230000000,6BFFBFFF,Seyfert Galaxy
135,Deepsky,GlobularCluster,38.88333333,114.525,,,,,,,25,2419,,Lyn,10.4,,275000,6BFFBFFF,Globular Cluster
136,Deepsky,Galaxy,37.81666667,184.375,,,,,,,26,4244,,CVn,10.6,,10000000,6BFFBFFF,Spiral Galaxy
137,Deepsky,Nebula,38.35,303,Crescent Nebula,,,,,,27,6888,,Cyg,7.5,,4700,6BFFBFFF,Blushing Nebula
138,Deepsky,OpenCluster,37.68333333,29.45,,,,,,,28,752,,And,5.7,,1200,6BFFBFFF,Open Cluster
139,Deepsky,Galaxy,37.05,197.725,,,,,,,29,5005,,CVn,9.8,,69000000,6BFFBFFF,Barred Spiral Galaxy
140,Deepsky,Galaxy,34.41666667,339.275,,,,,,,30,7331,,Peg,9.5,,47000000,6BFFBFFF,Barred Spiral Galaxy
141,Deepsky,Nebula,34.26666667,79.05,Flaming Star Nebula,,,,,,31,,405,Aur,6,,1600,6BFFBFFF,Blushing Nebula
142,Deepsky,Galaxy,32.53333333,190.525,Whale Galaxy,,,,,,32,4631,,CVn,9.3,,22000000,6BFFBFFF,Spiral Galaxy
143,Deepsky,Nebula,31.71666667,314.1,East Veil Nebula,,,,,,33,6992,,Cyg,7.9,,2500,6BFFBFFF,Supernova Nebula
144,Deepsky,Nebula,30.71666667,311.425,West Veil Nebula,,,,,,34,6960,,Cyg,8.1,,2500,6BFFBFFF,Supernova Nebula
145,Deepsky,Galaxy,27.98333333,195.025,,,,,,,35,4889,,Com,11.4,,300000000,6BFFBFFF,Elliptical Galaxy
146,Deepsky,Galaxy,27.96666667,189,,,,,,,36,4559,,Com,9.8,,32000000,6BFFBFFF,Spiral Galaxy
147,Deepsky,OpenCluster,26.48333333,303,,,,,,,37,6885,,Vul,5.7,,1950,6BFFBFFF,Open Cluster
148,Deepsky,Galaxy,25.98333333,189.075,Needle Galaxy,,,,,,38,4565,,Com,9.6,,32000000,6BFFBFFF,Barred Spiral Galaxy
149,Deepsky,PlanetaryNebula,20.91666667,112.3,Eskimo Nebula;Clown Nebula,,,,,,39,2392,,Gem,9.9,,4000,6BFFBFFF,Planetary Nebula
