object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour
220,Star,Unknown,1.08900875,0.00089921,,,,1,,,,,,Psc,9.1,0.482,,
221,Star,Unknown,-19.49883971,0.00426461,,,,2,,,,,,Cet,9.27,0.999,,
222,Star,Unknown,38.85927901,0.00502431,,,,3,,,,,,And,6.61,-0.019,,
223,Star,Unknown,-51.89354573,0.00862924,,,,4,,,,,,Phe,8.06,0.37,,
224,Star,Unknown,-40.59120235,0.00997344,,,,5,,,,,,Phe,8.55,0.902,,
225,Star,Unknown,3.94645772,0.01869276,,,,6,,,,,,Psc,12.31,1.336,,
226,Star,Unknown,20.03611413,0.02201047,,,,7,,,,,,Peg,9.64,0.74,,
227,Star,Unknown,25.88646069,0.02734317,,,,8,,,,,,Peg,9.05,1.102,,
228,Star,Unknown,36.58595824,0.03532282,,,,9,,,,,,And,8.59,1.067,,
229,Star,Unknown,-50.86697633,0.03641572,,,,10,,,,,,Phe,8.59,0.489,,
230,Star,Unknown,46.93999663,0.03733643,,,,11,,,,,,And,7.34,0.081,,
231,Star,Unknown,-35.96022506,0.04089957,,,,12,,,,,,Scl,8.43,1.484,,
232,Star,Unknown,-22.59470508,0.04170195,,,,13,,,,,,Cet,8.8,1.128,,
233,Star,Unknown,-0.36044955,0.04842198,,,,14,,,,,,Psc,7.25,1.2,,
234,Star,Unknown,50.79118714,0.05036227,,,,15,,,,,,Cas,8.6,1.166,,
235,Star,Unknown,-40.19239251,0.05098992,,,,17,,,,,,Phe,8.15,0.425,,
236,Star,Unknown,-54.91436305,0.0524969,,,,16,,,,,,Phe,11.71,0.421,,
237,Star,Unknown,-4.05368033,0.05282924,,,,18,,,,,,Psc,11.03,1.567,,
238,Star,Unknown,38.30404973,0.05330922,,,,19,,,,,,And,6.53,0.955,,
239,Star,Unknown,23.52922812,0.06304593,,,,20,,,,,,Peg,8.51,0.516,,
240,Star,Unknown,8.00723384,0.0663876,,,,21,,,,,,Psc,7.55,1.438,,
241,Star,Unknown,-49.35226574,0.07010645,,,,22,,,,,,Phe,8.69,0.962,,
242,Star,Unknown,13.31223428,0.07456455,,,,23,,,,,,Peg,7.57,0.456,,
243,Star,Unknown,-23.45269512,0.07638666,,,,24,,,,,,Cet,9.05,0.528,,
244,Star,Unknown,-44.29056147,0.07956353,,,,25,,,,,,Phe,6.28,0.763,,
245,Star,Unknown,-13.39337792,0.08408762,,,,26,,,,,,Cet,9.13,0.535,,
246,Star,Unknown,-41.29781324,0.08590961,,,,27,,,,,,Phe,9.32,0.671,,
247,Star,Unknown,-43.36182074,0.08721207,,,,28,,,,,,Phe,8.83,0.468,,
248,Star,Unknown,-49.10794521,0.09223079,,,,29,,,,,,Phe,9.14,1.041,,
249,Star,Unknown,42.14147417,0.09610796,,,,30,,,,,,And,8.26,0.142,,
250,Star,Unknown,2.67547719,0.09808203,,,,31,,,,,,Psc,7.63,1.453,,
251,Star,Unknown,51.93948715,0.09858221,,,,32,,,,,,Cas,9.09,0.04,,
252,Star,Unknown,-10.46238467,0.09917188,,,,33,,,,,,Cet,8.1,0.466,,
253,Star,Unknown,26.91810825,0.09958476,,,,34,,,,,,Peg,6.43,0.514,,
254,Star,Unknown,-14.49048429,0.10296783,,,,35,,,,,,Cet,9.07,0.916,,
255,Star,Unknown,12.26712771,0.10339915,,,,36,,,,,,Peg,7.68,1.15,,
256,Star,Unknown,-47.17956673,0.10532715,,,,37,,,,,,Phe,10.44,0.391,,
257,Star,Unknown,-79.06198299,0.11312591,,,,38,,,,,,Oct,8.65,0.778,,
258,Star,Unknown,-16.69700929,0.11229215,,,,39,,,,,,Cet,7.46,0.475,,
259,Star,Unknown,54.3022366,0.11657092,,,,41,,,,,,Cas,8.7,0.026,,
260,Star,Unknown,67.21678352,0.12195094,,,,40,,,,,,Cep,10.61,0.57,,
261,Star,Unknown,25.84476477,0.12544256,,,,42,,,,,,Peg,8.2,0.387,,
262,Star,Unknown,59.55967936,0.12870233,,,,43,,,,,,Cas,6.18,1.032,,
263,Star,Unknown,-3.30632275,0.13274932,,,,44,,,,,,Psc,7.91,1.104,,
264,Star,Unknown,-72.20271707,0.13390871,,,,45,,,,,,Tuc,9.59,,,
265,Star,Unknown,-25.62228532,0.13458518,,,,46,,,,,,Scl,8.57,1.035,,
266,Star,Unknown,-56.83560235,0.13499593,,,,47,,,,,,Phe,10.78,1.15,,
267,Star,Unknown,-40.69047406,0.13523572,,,,48,,,,,,Phe,7.31,1.164,,
268,Star,Unknown,16.66904872,0.1395683,,,,49,,,,,,Peg,9.53,0.45,,
269,Star,Unknown,-53.09771264,0.14308505,,,,50,,,,,,Phe,6.49,0.616,,
270,Star,Unknown,1.06621265,0.14341521,,,,51,,,,,,Psc,8.94,0.906,,
271,Star,Unknown,-77.02011641,0.14689101,,,,52,,,,,,Oct,8.56,0.196,,
272,Star,Unknown,-29.26341397,0.1474235,,,,53,,,,,,Scl,10.96,,,
273,Star,Unknown,17.96890842,0.15259369,,,,54,,,,,,Peg,10.57,1.03,,
274,Star,Unknown,-66.68317341,0.15883342,,,,55,,,,,,Tuc,7.4,0.551,,
275,Star,Unknown,0.22293148,0.16292659,,,,56,,,,,,Psc,8.12,1.329,,
276,Star,Unknown,-69.67596496,0.16799887,,,,57,,,,,,Tuc,8.27,0.863,,
277,Star,Unknown,62.17589814,0.17351893,,,,58,,,,,,Cas,7.05,0.52,,
278,Star,Unknown,55.72246019,0.17444632,,,,59,,,,,,Cas,9.09,0.091,,
279,Star,Unknown,-64.46579906,0.17543305,,,,60,,,,,,Tuc,8.34,0.386,,
280,Star,Unknown,53.82214566,0.17629182,,,,61,,,,,,Cas,8.86,1.081,,
281,Star,Unknown,-45.42273893,0.17997515,,,,62,,,,,,Phe,8.27,0.994,,
282,Star,Unknown,45.25333358,0.18180951,,,,63,,,,,,And,6.36,-0.047,,
283,Star,Unknown,-27.9075816,0.18457262,,,,64,,,,,,Scl,8.08,1.156,,
284,Star,Unknown,-54.83052368,0.18710968,,,,65,,,,,,Phe,11,1.147,,
285,Star,Unknown,-72.31822025,0.18842425,,,,66,,,,,,Tuc,8.55,0.401,,
286,Star,Unknown,23.53821871,0.19934271,,,,67,,,,,,Peg,7.83,0.495,,
287,Star,Unknown,16.98819718,0.20038292,,,,68,,,,,,Peg,8.79,0.94,,
288,Star,Unknown,30.39588967,0.20141819,,,,69,,,,,,Peg,8.33,0.135,,
289,Star,Unknown,36.77763731,0.20265818,,,,70,,,,,,And,10.42,0.706,,
290,Star,Unknown,36.78010596,0.20702546,,,,71,,,,,,And,8.26,0.846,,
291,Star,Unknown,-12.82896097,0.2199319,,,,72,,,,,,Cet,8.97,0.671,,
292,Star,Unknown,66.84801108,0.22032873,,,,73,,,,,,Cep,6.9,1.446,,
293,Star,Unknown,35.75262415,0.22234521,,,,74,,,,,,And,9.93,1.068,,
294,Star,Unknown,-50.44645878,0.22327289,,,,75,,,,,,Phe,7.42,1.524,,
295,Star,Unknown,32.82565398,0.22821386,,,,76,,,,,,And,9.03,1.67,,
296,Star,Unknown,-30.06416645,0.23057457,,,,77,,,,,,Scl,8.41,0.022,,
297,Star,Unknown,17.86785087,0.23231177,,,,78,,,,,,Peg,8.06,1.203,,
298,Star,Unknown,35.31672029,0.23577186,,,,79,,,,,,And,8.69,0.529,,
299,Star,Unknown,-11.82373854,0.24283274,,,,80,,,,,,Cet,8.4,0.566,,
300,Star,Unknown,-4.93253439,0.24341384,,,,81,,,,,,Psc,8.57,0.642,,
301,Star,Unknown,-10.93596353,0.24801685,,,,82,,,,,,Cet,9.5,1.107,,
302,Star,Unknown,52.08056203,0.24807269,,,,83,,,,,,Cas,8.85,1.726,,
