object_id,hip_id,ra,dec,vmag,bv,name,bayer,flamsteed,constellations
0,1,0.00089921,1.08900875,9.1,0.482,,,,
0,2,0.00426461,-19.49883971,9.27,0.999,,,,
0,3,0.00502431,38.85927901,6.61,-0.019,,,,
0,4,0.00862924,-51.89354573,8.06,0.37,,,,
0,5,0.00997344,-40.59120235,8.55,0.902,,,,
0,6,0.01869276,3.94645772,12.31,1.336,,,,
0,7,0.02201047,20.03611413,9.64,0.74,,,,
0,8,0.02734317,25.88646069,9.05,1.102,,,,
0,9,0.03532282,36.58595824,8.59,1.067,,,,
0,10,0.03641572,-50.86697633,8.59,0.489,,,,
0,11,0.03733643,46.93999663,7.34,0.081,,,,
0,12,0.04089957,-35.96022506,8.43,1.484,,,,
0,13,0.04170195,-22.59470508,8.8,1.128,,,,
0,14,0.04842198,-0.36044955,7.25,1.2,,,,
0,15,0.05036227,50.79118714,8.6,1.166,,,,
0,17,0.05098992,-40.19239251,8.15,0.425,,,,
0,16,0.0524969,-54.91436305,11.71,0.421,,,,
0,18,0.05282924,-4.05368033,11.03,1.567,,,,
0,19,0.05330922,38.30404973,6.53,0.955,,,,
0,20,0.06304593,23.52922812,8.51,0.516,,,,
0,21,0.0663876,8.00723384,7.55,1.438,,,,
0,22,0.07010645,-49.35226574,8.69,0.962,,,,
0,23,0.07456455,13.31223428,7.57,0.456,,,,
0,24,0.07638666,-23.45269512,9.05,0.528,,,,
0,25,0.07956353,-44.29056147,6.28,0.763,,,,
0,26,0.08408762,-13.39337792,9.13,0.535,,,,
0,27,0.08590961,-41.29781324,9.32,0.671,,,,
0,28,0.08721207,-43.36182074,8.83,0.468,,,,
0,29,0.09223079,-49.10794521,9.14,1.041,,,,
0,30,0.09610796,42.14147417,8.26,0.142,,,,
0,31,0.09808203,2.67547719,7.63,1.453,,,,
0,32,0.09858221,51.93948715,9.09,0.04,,,,
0,33,0.09917188,-10.46238467,8.1,0.466,,,,
0,34,0.09958476,26.91810825,6.43,0.514,,,,
0,35,0.10296783,-14.49048429,9.07,0.916,,,,
0,36,0.10339915,12.26712771,7.68,1.15,,,,
0,37,0.10532715,-47.17956673,10.44,0.391,,,,
0,38,0.11312591,-79.06198299,8.65,0.778,,,,
0,39,0.11229215,-16.69700929,7.46,0.475,,,,
0,41,0.11657092,54.3022366,8.7,0.026,,,,
0,40,0.12195094,67.21678352,10.61,0.57,,,,
0,42,0.12544256,25.84476477,8.2,0.387,,,,
0,43,0.12870233,59.55967936,6.18,1.032,,,,
0,44,0.13274932,-3.30632275,7.91,1.104,,,,
0,45,0.13390871,-72.20271707,9.59,,,,,
0,46,0.13458518,-25.62228532,8.57,1.035,,,,
0,47,0.13499593,-56.83560235,10.78,1.15,,,,
0,48,0.13523572,-40.69047406,7.31,1.164,,,,
0,49,0.1395683,16.66904872,9.53,0.45,,,,
0,50,0.14308505,-53.09771264,6.49,0.616,,,,
0,51,0.14341521,1.06621265,8.94,0.906,,,,
0,52,0.14689101,-77.02011641,8.56,0.196,,,,
0,53,0.1474235,-29.26341397,10.96,,,,,
0,54,0.15259369,17.96890842,10.57,1.03,,,,
0,55,0.15883342,-66.68317341,7.4,0.551,,,,
0,56,0.16292659,0.22293148,8.12,1.329,,,,
0,57,0.16799887,-69.67596496,8.27,0.863,,,,
0,58,0.17351893,62.17589814,7.05,0.52,,,,
0,59,0.17444632,55.72246019,9.09,0.091,,,,
0,60,0.17543305,-64.46579906,8.34,0.386,,,,
0,61,0.17629182,53.82214566,8.86,1.081,,,,
0,62,0.17997515,-45.42273893,8.27,0.994,,,,
0,63,0.18180951,45.25333358,6.36,-0.047,,,,
0,64,0.18457262,-27.9075816,8.08,1.156,,,,
0,65,0.18710968,-54.83052368,11.0,1.147,,,,
0,66,0.18842425,-72.31822025,8.55,0.401,,,,
0,67,0.19934271,23.53821871,7.83,0.495,,,,
0,68,0.20038292,16.98819718,8.79,0.94,,,,
0,69,0.20141819,30.39588967,8.33,0.135,,,,
0,70,0.20265818,36.77763731,10.42,0.706,,,,
0,71,0.20702546,36.78010596,8.26,0.846,,,,
0,72,0.2199319,-12.82896097,8.97,0.671,,,,
0,73,0.22032873,66.84801108,6.9,1.446,,,,
0,74,0.22234521,35.75262415,9.93,1.068,,,,
0,75,0.22327289,-50.44645878,7.42,1.524,,,,
0,76,0.22821386,32.82565398,9.03,1.67,,,,
0,77,0.23057457,-30.06416645,8.41,0.022,,,,
0,78,0.23231177,17.86785087,8.06,1.203,,,,
0,79,0.23577186,35.31672029,8.69,0.529,,,,
0,80,0.24283274,-11.82373854,8.4,0.566,,,,
0,81,0.24341384,-4.93253439,8.57,0.642,,,,
0,82,0.24801685,-10.93596353,9.5,1.107,,,,
0,83,0.24807269,52.08056203,8.85,1.726,,,,
0,84,0.25242746,27.88633041,9.61,0.852,,,,
0,85,0.25613701,-24.71404783,10.62,0.359,,,,
0,86,0.26046303,69.60350479,8.05,0.018,,,,
0,87,0.26149643,-5.83500221,7.8,0.43,,,,
0,88,0.26909344,-48.8098756,5.71,0.911,,tau Phe,,
0,89,0.27715454,53.1669426,7.87,1.566,,,,
0,90,0.28008183,-41.88754391,7.64,0.5,,,,
0,91,0.28053082,-5.87434773,7.66,1.3,,,,
0,92,0.2906966,-20.70554966,8.68,0.944,,,,
0,93,0.29235608,-0.07609845,8.12,0.619,,,,
0,94,0.29499845,-32.75683653,10.1,0.644,,,,
0,95,0.30201413,-11.96403357,8.67,0.513,,,,
0,96,0.30494514,13.9750881,10.46,1.36,,,,
0,98,0.30716971,-52.79857541,9.87,0.551,,,,
0,97,0.3073815,-21.40404233,9.48,0.53,,,,
0,99,0.31606323,60.35528221,7.04,2.835,,,,
0,100,0.31637606,19.74124322,8.44,0.898,,,,
0,101,0.3197098,-47.79383145,9.88,0.509,,,,
0,102,0.32048758,-41.48743739,7.05,1.55,,,,
0,103,0.32207502,-68.37112748,8.29,0.538,,,,
