ra_start,dec_start,ra_end,dec_end,colour,width,constellation
1.533375,-81.803966,1.537311,-81.303966,87C5FFFF,1,559:560
1.537311,-81.303966,1.5439755,-80.303967,87C5FFFF,1,559:560
1.5439755,-80.303967,1.5494025,-79.303968,87C5FFFF,1,559:560
1.5494025,-79.303968,1.5539129999999999,-78.303968,87C5FFFF,1,559:560
1.5539129999999999,-78.303968,1.5577215,-77.303968,87C5FFFF,1,559:560
1.5577215,-77.303968,1.5609825000000002,-76.303968,87C5FFFF,1,559:560
1.5609825000000002,-76.303968,1.563807,-75.303969,87C5FFFF,1,559:560
1.563807,-75.303969,1.566279,-74.303969,87C5FFFF,1,559:560
1.602714,+10.696028,1.6028895,+11.696028,87C5FFFF,1,673:672
1.6028895,+11.696028,1.603068,+12.696028,87C5FFFF,1,673:672
1.603068,+12.696028,1.6031565,+13.196028,87C5FFFF,1,673:672
1.6061985,+28.696028,1.606422,+29.696028,87C5FFFF,1,032:033
1.606422,+29.696028,1.6066485,+30.696028,87C5FFFF,1,032:033
1.6066485,+30.696028,1.606881,+31.696028,87C5FFFF,1,032:033
1.606881,+31.696028,1.606959,+32.029361,87C5FFFF,1,032:033
2.609949,+22.695751,2.6104005,+23.695751,87C5FFFF,1,030:031
2.6104005,+23.695751,2.6108595,+24.695751,87C5FFFF,1,030:031
2.6108595,+24.695751,2.611326,+25.695750,87C5FFFF,1,030:031
2.611326,+25.695750,2.6118,+26.695750,87C5FFFF,1,030:031
2.6118,+26.695750,2.6122815,+27.695750,87C5FFFF,1,030:031
2.6122815,+27.695750,2.6127735,+28.695750,87C5FFFF,1,030:031
3.734049,+13.195186,3.7343775,+13.695186,87C5FFFF,1,671:029
3.7343775,+13.695186,3.7350375,+14.695186,87C5FFFF,1,671:029
3.7350375,+14.695186,3.7357020000000003,+15.695186,87C5FFFF,1,671:029
3.7357020000000003,+15.695186,3.7363755,+16.695186,87C5FFFF,1,671:029
3.7363755,+16.695186,3.7370535,+17.695186,87C5FFFF,1,671:029
3.7370535,+17.695186,3.7377420000000003,+18.695185,87C5FFFF,1,671:029
3.7377420000000003,+18.695185,3.7384365,+19.695185,87C5FFFF,1,671:029
3.7384365,+19.695185,3.73914,+20.695185,87C5FFFF,1,671:029
3.73914,+20.695185,3.7398540000000002,+21.695185,87C5FFFF,1,671:029
3.7398540000000002,+21.695185,3.740577,+22.695184,87C5FFFF,1,671:029
4.14321,+46.694927,4.144724999999999,+47.694926,87C5FFFF,1,008:007
4.144724999999999,+47.694926,4.1462985,+48.694926,87C5FFFF,1,008:007
6.5927355,-06.307463,6.593976,-05.307464,87C5FFFF,1,341:333
6.593976,-05.307464,6.595212,-04.307464,87C5FFFF,1,341:333
6.595212,-04.307464,6.596445,-03.307465,87C5FFFF,1,341:333
6.596445,-03.307465,6.5976764999999995,-02.307466,87C5FFFF,1,341:333
6.5976764999999995,-02.307466,6.598905,-01.307467,87C5FFFF,1,341:333
6.598905,-01.307467,6.6001335,-00.307467,87C5FFFF,1,341:333
6.6001335,-00.307467,6.6013605,+00.692532,87C5FFFF,1,341:333
6.6013605,+00.692532,6.602589,+01.692531,87C5FFFF,1,341:333
6.602589,+01.692531,6.603819,+02.692530,87C5FFFF,1,341:333
6.7637955,+66.692432,6.7719705,+67.692427,87C5FFFF,1,284:285
6.7719705,+67.692427,6.7808715,+68.692422,87C5FFFF,1,284:285
6.7808715,+68.692422,6.7906065,+69.692416,87C5FFFF,1,284:285
6.7906065,+69.692416,6.8013045,+70.692409,87C5FFFF,1,284:285
6.8013045,+70.692409,6.8131260000000005,+71.692402,87C5FFFF,1,284:285
6.8131260000000005,+71.692402,6.826263,+72.692394,87C5FFFF,1,284:285
6.826263,+72.692394,6.840960000000001,+73.692385,87C5FFFF,1,284:285
6.840960000000001,+73.692385,6.857521500000001,+74.692375,87C5FFFF,1,284:285
6.857521500000001,+74.692375,6.8763405,+75.692363,87C5FFFF,1,284:285
6.8763405,+75.692363,6.8979225,+76.692350,87C5FFFF,1,284:285
6.8979225,+76.692350,6.9229455,+77.692335,87C5FFFF,1,284:285
12.413424000000001,+24.431924,12.414159,+24.681923,87C5FFFF,1,025:024
12.414159,+24.681923,12.417129,+25.681919,87C5FFFF,1,025:024
12.417129,+25.681919,12.42015,+26.681916,87C5FFFF,1,025:024
12.42015,+26.681916,12.423223499999999,+27.681912,87C5FFFF,1,025:024
12.423223499999999,+27.681912,12.4263555,+28.681908,87C5FFFF,1,025:024
12.4263555,+28.681908,12.429546,+29.681904,87C5FFFF,1,025:024
12.429546,+29.681904,12.432802500000001,+30.681900,87C5FFFF,1,025:024
12.432802500000001,+30.681900,12.436125,+31.681896,87C5FFFF,1,025:024
12.436125,+31.681896,12.439521,+32.681892,87C5FFFF,1,025:024
12.439521,+32.681892,12.442995,+33.681888,87C5FFFF,1,025:024
12.2954025,-75.318538,12.3324255,-74.318585,87C5FFFF,1,562:561
14.414797499999999,+21.676629,14.418116999999999,+22.676625,87C5FFFF,1,027:026
14.418116999999999,+22.676625,14.421486,+23.676620,87C5FFFF,1,027:026
14.421486,+23.676620,14.424045,+24.426616,87C5FFFF,1,027:026
14.7760065,+46.675749,14.7822795,+47.675740,87C5FFFF,1,009:010
14.7822795,+47.675740,14.788797,+48.675730,87C5FFFF,1,009:010
18.588336,+48.663260,18.596904000000002,+49.663245,87C5FFFF,1,011:012
18.596904000000002,+49.663245,18.605832,+50.663228,87C5FFFF,1,011:012
20.6540895,-75.347229,20.7172995,-74.347366,87C5FFFF,1,563:485
20.7172995,-74.347366,20.773095,-73.347486,87C5FFFF,1,563:485
20.773095,-73.347486,20.822739,-72.347593,87C5FFFF,1,563:485
20.822739,-72.347593,20.86722,-71.347689,87C5FFFF,1,563:485
20.86722,-71.347689,20.907327,-70.347776,87C5FFFF,1,563:485
20.907327,-70.347776,20.9436975,-69.347854,87C5FFFF,1,563:485
20.9436975,-69.347854,20.976847499999998,-68.347926,87C5FFFF,1,563:485
