object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type2
1,Deepsky,Galaxy,22.01666667,83.625,Crab Nebula,,,,,1,,1952,,Tau,8.4,,6300,6BEEFFFF,Supernova Remnant
2,Deepsky,Galaxy,-0.81666667,323.375,,,,,,2,,7089,,Aqr,6.5,,37500,6BEEFFFF,Globular Cluster
3,Deepsky,Galaxy,28.38333333,205.55,,,,,,3,,5272,,CVn,6.2,,33900,6BEEFFFF,Globular Cluster
4,Deepsky,Galaxy,-26.53333333,245.9,,,,,,4,,6121,,Sco,5.6,,7200,6BEEFFFF,Globular Cluster
5,Deepsky,Galaxy,2.08333333,229.65,,,,,,5,,5904,,Ser,5.6,,24500,6BEEFFFF,Globular Cluster
6,Deepsky,Galaxy,-32.21666667,265.025,Butterfly Cluster,,,,,6,,6405,,Sco,5.3,,2000,6BEEFFFF,Open Cluster
7,Deepsky,Galaxy,-34.81666667,268.475,Ptolemy's Cluster,,,,,7,,6475,,Sco,4.1,,800,6BEEFFFF,Open Cluster
8,Deepsky,Galaxy,-24.38333333,270.95,Lagoon Nebula,,,,,8,,6523,,Sgr,6,,5200,6BEEFFFF,Diffuse Nebula
9,Deepsky,Galaxy,-18.51666667,259.8,,,,,,9,,6333,,Oph,7.7,,26700,6BEEFFFF,Globular Cluster
10,Deepsky,Galaxy,-4.1,254.275,,,,,,10,,6254,,Oph,6.6,,14400,6BEEFFFF,Globular Cluster
11,Deepsky,Galaxy,-6.26666667,282.775,Wild Duck Cluster,,,,,11,,6705,,Sct,6.3,,6000,6BEEFFFF,Open Cluster
12,Deepsky,Galaxy,-1.95,251.8,,,,,,12,,6218,,Oph,6.7,,16000,6BEEFFFF,Globular Cluster
13,Deepsky,Galaxy,36.46666667,250.425,Hercules Globular Cluster,,,,,13,,6205,,Her,5.8,,22800,6BEEFFFF,Globular Cluster
14,Deepsky,Galaxy,-3.25,264.4,,,,,,14,,6402,,Oph,7.6,,27400,6BEEFFFF,Globular Cluster
15,Deepsky,Galaxy,12.16666667,322.5,,,,,,15,,7078,,Peg,6.2,,33600,6BEEFFFF,Globular Cluster
16,Deepsky,Galaxy,-13.78333333,274.7,Eagle Nebula Cluster,,,,,16,,6611,,Ser,6.4,,7000,6BEEFFFF,Open Cluster
17,Deepsky,Galaxy,-16.18333333,275.2,Omega Nebula;Swan Nebula;Horseshoe Nebula,,,,,17,,6618,,Sgr,7,,5000,6BEEFFFF,Diffuse Nebula
18,Deepsky,Galaxy,-17.13333333,274.975,,,,,,18,,6613,,Sgr,7.5,,4900,6BEEFFFF,Open Cluster
19,Deepsky,Galaxy,-26.26666667,255.65,,,,,,19,,6273,,Oph,6.8,,27100,6BEEFFFF,Globular Cluster
20,Deepsky,Galaxy,-23.03333333,270.575,Trifid Nebula,,,,,20,,6514,,Sgr,9,,5200,6BEEFFFF,Diffuse Nebula
21,Deepsky,Galaxy,-22.5,271.15,,,,,,21,,6531,,Sgr,6.5,,4250,6BEEFFFF,Open Cluster
22,Deepsky,Galaxy,-23.9,279.1,,,,,,22,,6656,,Sgr,5.1,,10100,6BEEFFFF,Globular Cluster
23,Deepsky,Galaxy,-19.01666667,269.2,,,,,,23,,6494,,Sgr,6.9,,2150,6BEEFFFF,Open Cluster
24,Deepsky,Galaxy,-18.41666667,274.6,Milky Way Patch,,,,,24,,6603,,Sgr,4.6,,10000,6BEEFFFF,Star Cloud
25,Deepsky,Galaxy,-19.23333333,277.925,,,,,,25,,,4725,Sgr,6.5,,2000,6BEEFFFF,Open Cluster
26,Deepsky,Galaxy,-9.4,281.3,,,,,,26,,6694,,Sct,8,,5000,6BEEFFFF,Open Cluster
27,Deepsky,Galaxy,22.71666667,299.9,Dumbbell Nebula,,,,,27,,6853,,Vul,7.4,,1250,6BEEFFFF,Planetary Nebula
28,Deepsky,Galaxy,-24.86666667,276.125,,,,,,28,,6626,,Sgr,6.8,,17900,6BEEFFFF,Globular Cluster
29,Deepsky,Galaxy,38.53333333,305.975,,,,,,29,,6913,,Cyg,7.1,,4000,6BEEFFFF,Open Cluster
