ra_start,dec_start,ra_end,dec_end,colour,width,constellation
343,34.5,343,39,87C5FF3F,1,AND
343,39,343,43.5,87C5FF3F,1,AND
343,43.5,343,48,87C5FF3F,1,AND
343,48,343,52.5,87C5FF3F,1,AND
343,52.5,346.5,52.5,87C5FF3F,1,AND
346.5,52.5,350,52.5,87C5FF3F,1,AND
350,50,350,52.5,87C5FF3F,1,AND
350,50,353.75,50,87C5FF3F,1,AND
353.75,48,353.75,50,87C5FF3F,1,AND
353.75,48,358.125,48,87C5FF3F,1,AND
358.125,48,2.5,48,87C5FF3F,1,AND
2.5,46,2.5,48,87C5FF3F,1,AND
2.5,46,6,46,87C5FF3F,1,AND
6,46,9.5,46,87C5FF3F,1,AND
9.5,46,13,46,87C5FF3F,1,AND
13,46,13,48,87C5FF3F,1,AND
13,48,16.75,48,87C5FF3F,1,AND
16.75,48,16.75,50,87C5FF3F,1,AND
16.75,50,20.5,50,87C5FF3F,1,AND
20.5,50,25,50,87C5FF3F,1,AND
25,47,25,50,87C5FF3F,1,AND
25,47,27.8125,47,87C5FF3F,1,AND
27.8125,47,30.625,47,87C5FF3F,1,AND
30.625,47,30.625,50.5,87C5FF3F,1,AND
30.625,50.5,34.1875,50.5,87C5FF3F,1,AND
34.1875,50.5,37.75,50.5,87C5FF3F,1,AND
37.75,36.75,37.75,41.333333333333336,87C5FF3F,1,AND
37.75,41.333333333333336,37.75,45.916666666666664,87C5FF3F,1,AND
37.75,45.916666666666664,37.75,50.5,87C5FF3F,1,AND
30,36.75,33.875,36.75,87C5FF3F,1,AND
33.875,36.75,37.75,36.75,87C5FF3F,1,AND
30,35,30,36.75,87C5FF3F,1,AND
21.125,35,25.5625,35,87C5FF3F,1,AND
25.5625,35,30,35,87C5FF3F,1,AND
21.125,33,21.125,35,87C5FF3F,1,AND
10.75,33,14.208333333333334,33,87C5FF3F,1,AND
14.208333333333334,33,17.666666666666668,33,87C5FF3F,1,AND
17.666666666666668,33,21.125,33,87C5FF3F,1,AND
10.75,23.75,10.75,28.375,87C5FF3F,1,AND
10.75,28.375,10.75,33,87C5FF3F,1,AND
10.75,23.75,12.75,23.75,87C5FF3F,1,AND
12.75,21,12.75,23.75,87C5FF3F,1,AND
2.125,21,5.666666666666666,21,87C5FF3F,1,AND
