ra_start,dec_start,ra_end,dec_end,colour,width,constellation
343,34.5,343,52.5,87C5FF3F,1,AND
343,52.5,350,52.5,87C5FF3F,1,AND
350,52.5,350,50,87C5FF3F,1,AND
350,50,353.75,50,87C5FF3F,1,AND
353.75,50,353.75,48,87C5FF3F,1,AND
353.75,48,2.5,48,87C5FF3F,1,AND
2.5,48,2.5,46,87C5FF3F,1,AND
2.5,46,13,46,87C5FF3F,1,AND
13,46,13,48,87C5FF3F,1,AND
13,48,16.75,48,87C5FF3F,1,AND
16.75,48,16.75,50,87C5FF3F,1,AND
16.75,50,20.5,50,87C5FF3F,1,AND
20.5,50,25,50,87C5FF3F,1,AND
25,50,25,47,87C5FF3F,1,AND
25,47,30.625,47,87C5FF3F,1,AND
30.625,47,30.625,50.5,87C5FF3F,1,AND
30.625,50.5,37.75,50.5,87C5FF3F,1,AND
37.75,50.5,37.75,36.75,87C5FF3F,1,AND
37.75,36.75,30,36.75,87C5FF3F,1,AND
30,36.75,30,35,87C5FF3F,1,AND
30,35,21.125,35,87C5FF3F,1,AND
21.125,35,21.125,33,87C5FF3F,1,AND
21.125,33,10.75,33,87C5FF3F,1,AND
10.75,33,10.75,23.75,87C5FF3F,1,AND
10.75,23.75,12.75,23.75,87C5FF3F,1,AND
12.75,23.75,12.75,21,87C5FF3F,1,AND
12.75,21,2.125,21,87C5FF3F,1,AND
2.125,21,2.125,22,87C5FF3F,1,AND
2.125,22,1,22,87C5FF3F,1,AND
1,22,1,28,87C5FF3F,1,AND
1,28,0,28,87C5FF3F,1,AND
0,28,0,31.33333333,87C5FF3F,1,AND
0,31.33333333,356.25,31.33333333,87C5FF3F,1,AND
356.25,31.33333333,356.25,32.08333333,87C5FF3F,1,AND
356.25,32.08333333,352.5,32.08333333,87C5FF3F,1,AND
352.5,32.08333333,352.5,34.5,87C5FF3F,1,AND
352.5,34.5,343,34.5,87C5FF3F,1,AND
140.5,-24,140.5,-35.25,87C5FF3F,1,ANT
140.5,-35.25,140.5,-38.25,87C5FF3F,1,ANT
140.5,-38.25,165,-38.25,87C5FF3F,1,ANT
165,-38.25,165,-35,87C5FF3F,1,ANT
165,-35,162.5,-35,87C5FF3F,1,ANT
162.5,-35,162.5,-30.83333333,87C5FF3F,1,ANT
162.5,-30.83333333,158.75,-30.83333333,87C5FF3F,1,ANT
158.75,-30.83333333,158.75,-28.83333333,87C5FF3F,1,ANT
158.75,-28.83333333,153.75,-28.83333333,87C5FF3F,1,ANT
153.75,-28.83333333,153.75,-25.5,87C5FF3F,1,ANT
153.75,-25.5,146.25,-25.5,87C5FF3F,1,ANT
146.25,-25.5,146.25,-24,87C5FF3F,1,ANT
146.25,-24,140.5,-24,87C5FF3F,1,ANT
205,-81.5,270,-81.5,87C5FF3F,1,APS
270,-81.5,270,-75,87C5FF3F,1,APS
270,-75,270,-66.5,87C5FF3F,1,APS
270,-66.5,262.5,-66.5,87C5FF3F,1,APS
262.5,-66.5,255,-66.5,87C5FF3F,1,APS
255,-66.5,255,-70,87C5FF3F,1,APS
255,-70,221.25,-70,87C5FF3F,1,APS
221.25,-70,205,-70,87C5FF3F,1,APS
205,-70,205,-75,87C5FF3F,1,APS
205,-75,205,-81.5,87C5FF3F,1,APS
308,0,308,2,87C5FF3F,1,AQR
308,2,312.5,2,87C5FF3F,1,AQR
312.5,2,320,2,87C5FF3F,1,AQR
320,2,322,2,87C5FF3F,1,AQR
322,2,322,2.75,87C5FF3F,1,AQR
322,2.75,325,2.75,87C5FF3F,1,AQR
325,2.75,325,1.75,87C5FF3F,1,AQR
325,1.75,330,1.75,87C5FF3F,1,AQR
330,1.75,330,2,87C5FF3F,1,AQR
330,2,341.25,2,87C5FF3F,1,AQR
341.25,2,341.25,0,87C5FF3F,1,AQR
341.25,0,341.25,-4,87C5FF3F,1,AQR
341.25,-4,357.5,-4,87C5FF3F,1,AQR
357.5,-4,357.5,-7,87C5FF3F,1,AQR
357.5,-7,357.5,-24.5,87C5FF3F,1,AQR
357.5,-24.5,345,-24.5,87C5FF3F,1,AQR
345,-24.5,328,-24.5,87C5FF3F,1,AQR
328,-24.5,328,-9,87C5FF3F,1,AQR
328,-9,320,-9,87C5FF3F,1,AQR
320,-9,320,-15,87C5FF3F,1,AQR
320,-15,308,-15,87C5FF3F,1,AQR
308,-15,308,-9,87C5FF3F,1,AQR
308,-9,308,0,87C5FF3F,1,AQR
278.75,0,278.75,2,87C5FF3F,1,AQL
278.75,2,283,2,87C5FF3F,1,AQL
283,2,283,6.25,87C5FF3F,1,AQL
283,6.25,279.9333333,6.25,87C5FF3F,1,AQL
279.9333333,6.25,279.9333333,12,87C5FF3F,1,AQL
279.9333333,12,283,12,87C5FF3F,1,AQL
283,12,283,18.5,87C5FF3F,1,AQL
283,18.5,285,18.5,87C5FF3F,1,AQL
285,18.5,285,16.16666667,87C5FF3F,1,AQL
285,16.16666667,297.5,16.16666667,87C5FF3F,1,AQL
297.5,16.16666667,297.5,15.75,87C5FF3F,1,AQL
297.5,15.75,302.125,15.75,87C5FF3F,1,AQL
302.125,15.75,302.125,8.5,87C5FF3F,1,AQL
302.125,8.5,304.5,8.5,87C5FF3F,1,AQL
304.5,8.5,304.5,2,87C5FF3F,1,AQL
304.5,2,308,2,87C5FF3F,1,AQL
308,2,308,0,87C5FF3F,1,AQL
308,0,308,-9,87C5FF3F,1,AQL
308,-9,300,-9,87C5FF3F,1,AQL
300,-9,300,-11.96666667,87C5FF3F,1,AQL
300,-11.96666667,283,-11.96666667,87C5FF3F,1,AQL
283,-11.96666667,283,-4,87C5FF3F,1,AQL
283,-4,278.75,-4,87C5FF3F,1,AQL
278.75,-4,278.75,0,87C5FF3F,1,AQL
246.3125,-60,246.3125,-44.5,87C5FF3F,1,ARA
246.3125,-44.5,267.5,-44.5,87C5FF3F,1,ARA
267.5,-44.5,270,-44.5,87C5FF3F,1,ARA
270,-44.5,270,-57,87C5FF3F,1,ARA
270,-57,262.5,-57,87C5FF3F,1,ARA
262.5,-57,262.5,-66.5,87C5FF3F,1,ARA
262.5,-66.5,255,-66.5,87C5FF3F,1,ARA
255,-66.5,252.5,-66.5,87C5FF3F,1,ARA
252.5,-66.5,252.5,-65,87C5FF3F,1,ARA
252.5,-65,251.25,-65,87C5FF3F,1,ARA
251.25,-65,251.25,-62.41666667,87C5FF3F,1,ARA
251.25,-62.41666667,248.75,-62.41666667,87C5FF3F,1,ARA
248.75,-62.41666667,248.75,-61,87C5FF3F,1,ARA
248.75,-61,246.3125,-61,87C5FF3F,1,ARA
246.3125,-61,246.3125,-60,87C5FF3F,1,ARA
30,9.91666667,25,9.91666667,87C5FF3F,1,ARI
25,9.91666667,25,25,87C5FF3F,1,ARI
25,25,28.75,25,87C5FF3F,1,ARI
28.75,25,28.75,27.25,87C5FF3F,1,ARI
28.75,27.25,36.25,27.25,87C5FF3F,1,ARI
36.25,27.25,36.25,30.66666667,87C5FF3F,1,ARI
36.25,30.66666667,40.75,30.66666667,87C5FF3F,1,ARI
40.75,30.66666667,50.5,30.66666667,87C5FF3F,1,ARI
50.5,30.66666667,50.5,19,87C5FF3F,1,ARI
50.5,19,49.25,19,87C5FF3F,1,ARI
49.25,19,49.25,9.91666667,87C5FF3F,1,ARI
49.25,9.91666667,30,9.91666667,87C5FF3F,1,ARI
67.5,30.66666667,67.5,36,87C5FF3F,1,AUR
67.5,36,70.375,36,87C5FF3F,1,AUR
70.375,36,70.375,52.5,87C5FF3F,1,AUR
70.375,52.5,75,52.5,87C5FF3F,1,AUR
75,52.5,75,56,87C5FF3F,1,AUR
75,56,91.5,56,87C5FF3F,1,AUR
91.5,56,91.5,54,87C5FF3F,1,AUR
91.5,54,97.5,54,87C5FF3F,1,AUR
97.5,54,97.5,50,87C5FF3F,1,AUR
97.5,50,102,50,87C5FF3F,1,AUR
102,50,102,44.5,87C5FF3F,1,AUR
102,44.5,110.5,44.5,87C5FF3F,1,AUR
110.5,44.5,110.5,35.5,87C5FF3F,1,AUR
110.5,35.5,98,35.5,87C5FF3F,1,AUR
98,35.5,98,28,87C5FF3F,1,AUR
98,28,88.25,28,87C5FF3F,1,AUR
88.25,28,88.25,28.5,87C5FF3F,1,AUR
88.25,28.5,71.25,28.5,87C5FF3F,1,AUR
71.25,28.5,71.25,30,87C5FF3F,1,AUR
71.25,30,67.5,30,87C5FF3F,1,AUR
67.5,30,67.5,30.66666667,87C5FF3F,1,AUR
226.25,8,202.5,8,87C5FF3F,1,BOO
202.5,8,202.5,15,87C5FF3F,1,BOO
202.5,15,202.5,28.5,87C5FF3F,1,BOO
202.5,28.5,209.375,28.5,87C5FF3F,1,BOO
209.375,28.5,209.375,30.75,87C5FF3F,1,BOO
209.375,30.75,210.5,30.75,87C5FF3F,1,BOO
210.5,30.75,210.5,48.5,87C5FF3F,1,BOO
210.5,48.5,210.5,55.5,87C5FF3F,1,BOO
210.5,55.5,216.25,55.5,87C5FF3F,1,BOO
216.25,55.5,228.75,55.5,87C5FF3F,1,BOO
228.75,55.5,228.75,53,87C5FF3F,1,BOO
228.75,53,236.25,53,87C5FF3F,1,BOO
236.25,53,236.25,51.5,87C5FF3F,1,BOO
236.25,51.5,236.25,40,87C5FF3F,1,BOO
236.25,40,231.5,40,87C5FF3F,1,BOO
231.5,40,231.5,33,87C5FF3F,1,BOO
231.5,33,227.75,33,87C5FF3F,1,BOO
227.75,33,227.75,26,87C5FF3F,1,BOO
227.75,26,226.25,26,87C5FF3F,1,BOO
226.25,26,226.25,8,87C5FF3F,1,BOO
64,-40,64,-49,87C5FF3F,1,CAE
64,-49,67.5,-49,87C5FF3F,1,CAE
67.5,-49,67.5,-45.5,87C5FF3F,1,CAE
67.5,-45.5,72.5,-45.5,87C5FF3F,1,CAE
72.5,-45.5,72.5,-43,87C5FF3F,1,CAE
72.5,-43,75,-43,87C5FF3F,1,CAE
75,-43,75,-26.75,87C5FF3F,1,CAE
75,-26.75,72.5,-26.75,87C5FF3F,1,CAE
72.5,-26.75,70.5,-26.75,87C5FF3F,1,CAE
70.5,-26.75,70.5,-30,87C5FF3F,1,CAE
70.5,-30,68.75,-30,87C5FF3F,1,CAE
68.75,-30,68.75,-37,87C5FF3F,1,CAE
68.75,-37,64,-37,87C5FF3F,1,CAE
64,-37,64,-40,87C5FF3F,1,CAE
91.5,56,75,56,87C5FF3F,1,CAM
75,56,75,52.5,87C5FF3F,1,CAM
75,52.5,70.375,52.5,87C5FF3F,1,CAM
70.375,52.5,50,52.5,87C5FF3F,1,CAM
50,52.5,50,55,87C5FF3F,1,CAM
50,55,47.5,55,87C5FF3F,1,CAM
47.5,55,47.5,57,87C5FF3F,1,CAM
47.5,57,46.5,57,87C5FF3F,1,CAM
46.5,57,46.5,68,87C5FF3F,1,CAM
46.5,68,51.25,68,87C5FF3F,1,CAM
51.25,68,51.25,77,87C5FF3F,1,CAM
51.25,77,52.625,77,87C5FF3F,1,CAM
52.625,77,52.625,80,87C5FF3F,1,CAM
52.625,80,75,80,87C5FF3F,1,CAM
75,80,75,85,87C5FF3F,1,CAM
75,85,120,85,87C5FF3F,1,CAM
120,85,120,86.5,87C5FF3F,1,CAM
120,86.5,217.5,86.5,87C5FF3F,1,CAM
217.5,86.5,217.5,80,87C5FF3F,1,CAM
217.5,80,203.75,80,87C5FF3F,1,CAM
203.75,80,203.75,77,87C5FF3F,1,CAM
203.75,77,195,77,87C5FF3F,1,CAM
195,77,172.5,77,87C5FF3F,1,CAM
172.5,77,172.5,80,87C5FF3F,1,CAM
172.5,80,160,80,87C5FF3F,1,CAM
160,80,160,82,87C5FF3F,1,CAM
160,82,137.5,82,87C5FF3F,1,CAM
137.5,82,137.5,73.5,87C5FF3F,1,CAM
137.5,73.5,119.5,73.5,87C5FF3F,1,CAM
119.5,73.5,119.5,60,87C5FF3F,1,CAM
119.5,60,105,60,87C5FF3F,1,CAM
105,60,105,62,87C5FF3F,1,CAM
105,62,91.5,62,87C5FF3F,1,CAM
91.5,62,91.5,56,87C5FF3F,1,CAM
138.75,7,121.25,7,87C5FF3F,1,CNC
121.25,7,118.875,7,87C5FF3F,1,CNC
118.875,7,118.875,10,87C5FF3F,1,CNC
118.875,10,117.125,10,87C5FF3F,1,CNC
117.125,10,117.125,13.5,87C5FF3F,1,CNC
117.125,13.5,117.125,20,87C5FF3F,1,CNC
117.125,20,118.25,20,87C5FF3F,1,CNC
118.25,20,118.25,28,87C5FF3F,1,CNC
118.25,28,120,28,87C5FF3F,1,CNC
120,28,120,33.5,87C5FF3F,1,CNC
120,33.5,138.75,33.5,87C5FF3F,1,CNC
138.75,33.5,138.75,7,87C5FF3F,1,CNC
180,34,180,45,87C5FF3F,1,CVN
180,45,181.25,45,87C5FF3F,1,CVN
181.25,45,181.25,53,87C5FF3F,1,CVN
181.25,53,202.5,53,87C5FF3F,1,CVN
202.5,53,202.5,48.5,87C5FF3F,1,CVN
202.5,48.5,210.5,48.5,87C5FF3F,1,CVN
210.5,48.5,210.5,30.75,87C5FF3F,1,CVN
210.5,30.75,209.375,30.75,87C5FF3F,1,CVN
209.375,30.75,209.375,28.5,87C5FF3F,1,CVN
209.375,28.5,202.5,28.5,87C5FF3F,1,CVN
202.5,28.5,198.75,28.5,87C5FF3F,1,CVN
198.75,28.5,198.75,32,87C5FF3F,1,CVN
198.75,32,185,32,87C5FF3F,1,CVN
185,32,185,34,87C5FF3F,1,CVN
185,34,180,34,87C5FF3F,1,CVN
91.75,-11,110.5,-11,87C5FF3F,1,CMA
110.5,-11,110.5,-33,87C5FF3F,1,CMA
110.5,-33,98.75,-33,87C5FF3F,1,CMA
98.75,-33,91.75,-33,87C5FF3F,1,CMA
91.75,-33,91.75,-26.75,87C5FF3F,1,CMA
91.75,-26.75,91.75,-11,87C5FF3F,1,CMA
121.25,0,108,0,87C5FF3F,1,CMI
108,0,108,1.5,87C5FF3F,1,CMI
108,1.5,105.25,1.5,87C5FF3F,1,CMI
105.25,1.5,105.25,5.5,87C5FF3F,1,CMI
105.25,5.5,105,5.5,87C5FF3F,1,CMI
105,5.5,105,10,87C5FF3F,1,CMI
105,10,105,12.5,87C5FF3F,1,CMI
105,12.5,112.5,12.5,87C5FF3F,1,CMI
112.5,12.5,112.5,13.5,87C5FF3F,1,CMI
112.5,13.5,117.125,13.5,87C5FF3F,1,CMI
117.125,13.5,117.125,10,87C5FF3F,1,CMI
117.125,10,118.875,10,87C5FF3F,1,CMI
118.875,10,118.875,7,87C5FF3F,1,CMI
118.875,7,121.25,7,87C5FF3F,1,CMI
121.25,7,121.25,0,87C5FF3F,1,CMI
308,-9,300,-9,87C5FF3F,1,CAP
300,-9,300,-11.96666667,87C5FF3F,1,CAP
300,-11.96666667,300,-28,87C5FF3F,1,CAP
300,-28,305,-28,87C5FF3F,1,CAP
305,-28,320,-28,87C5FF3F,1,CAP
320,-28,320,-24.5,87C5FF3F,1,CAP
320,-24.5,328,-24.5,87C5FF3F,1,CAP
328,-24.5,328,-9,87C5FF3F,1,CAP
328,-9,320,-9,87C5FF3F,1,CAP
320,-9,320,-15,87C5FF3F,1,CAP
320,-15,308,-15,87C5FF3F,1,CAP
308,-15,308,-9,87C5FF3F,1,CAP
168.75,-55.5,165,-55.5,87C5FF3F,1,CAR
165,-55.5,132.5,-55.5,87C5FF3F,1,CAR
132.5,-55.5,132.5,-53.5,87C5FF3F,1,CAR
132.5,-53.5,126.75,-53.5,87C5FF3F,1,CAR
126.75,-53.5,126.75,-53,87C5FF3F,1,CAR
126.75,-53,122.5,-53,87C5FF3F,1,CAR
122.5,-53,122.5,-49.25,87C5FF3F,1,CAR
122.5,-49.25,120,-49.25,87C5FF3F,1,CAR
120,-49.25,90,-49.25,87C5FF3F,1,CAR
90,-49.25,90,-51.5,87C5FF3F,1,CAR
90,-51.5,92.5,-51.5,87C5FF3F,1,CAR
92.5,-51.5,92.5,-55,87C5FF3F,1,CAR
92.5,-55,97.5,-55,87C5FF3F,1,CAR
97.5,-55,97.5,-58,87C5FF3F,1,CAR
97.5,-58,102.5,-58,87C5FF3F,1,CAR
102.5,-58,102.5,-64,87C5FF3F,1,CAR
102.5,-64,135.5,-64,87C5FF3F,1,CAR
135.5,-64,135.5,-75,87C5FF3F,1,CAR
135.5,-75,168.75,-75,87C5FF3F,1,CAR
168.75,-75,168.75,-64,87C5FF3F,1,CAR
168.75,-64,168.75,-55.5,87C5FF3F,1,CAR
343,52.5,343,56.25,87C5FF3F,1,CAS
343,56.25,343,59.08333333,87C5FF3F,1,CAS
343,59.08333333,347.5,59.08333333,87C5FF3F,1,CAS
347.5,59.08333333,347.5,63,87C5FF3F,1,CAS
347.5,63,353.75,63,87C5FF3F,1,CAS
353.75,63,353.75,66,87C5FF3F,1,CAS
353.75,66,5,66,87C5FF3F,1,CAS
5,66,5,77,87C5FF3F,1,CAS
5,77,51.25,77,87C5FF3F,1,CAS
51.25,77,51.25,68,87C5FF3F,1,CAS
51.25,68,46.5,68,87C5FF3F,1,CAS
46.5,68,46.5,57,87C5FF3F,1,CAS
46.5,57,36.5,57,87C5FF3F,1,CAS
36.5,57,36.5,58.5,87C5FF3F,1,CAS
36.5,58.5,28.625,58.5,87C5FF3F,1,CAS
28.625,58.5,28.625,57.5,87C5FF3F,1,CAS
