ra_start,dec_start,ra_end,dec_end,colour,width,constellation
344.465238,+35.168228,344.462687,+35.668224,87C5FFFF,1,0
344.462687,+35.668224,344.457486,+36.668215,87C5FFFF,1,0
344.457486,+36.668215,344.452147,+37.668206,87C5FFFF,1,0
344.452147,+37.668206,344.446664,+38.668197,87C5FFFF,1,0
344.446664,+38.668197,344.441025,+39.668187,87C5FFFF,1,0
344.441025,+39.668187,344.43522,+40.668177,87C5FFFF,1,0
344.43522,+40.668177,344.429238,+41.668167,87C5FFFF,1,0
344.429238,+41.668167,344.423069,+42.668157,87C5FFFF,1,0
344.423069,+42.668157,344.416696,+43.668146,87C5FFFF,1,0
344.416696,+43.668146,344.410107,+44.668135,87C5FFFF,1,0
344.410107,+44.668135,344.403288,+45.668123,87C5FFFF,1,0
344.403288,+45.668123,344.39622,+46.668111,87C5FFFF,1,0
344.39622,+46.668111,344.388886,+47.668099,87C5FFFF,1,0
344.388886,+47.668099,344.381267,+48.668086,87C5FFFF,1,0
344.381267,+48.668086,344.373338,+49.668073,87C5FFFF,1,0
344.373338,+49.668073,344.365075,+50.668059,87C5FFFF,1,0
344.365075,+50.668059,344.356454,+51.668044,87C5FFFF,1,0
344.356454,+51.668044,344.347443,+52.668029,87C5FFFF,1,0
344.347443,+52.668029,344.342781,+53.168021,87C5FFFF,1,0
344.342781,+53.168021,345.358304,+53.171359,87C5FFFF,1,0
345.358304,+53.171359,346.373906,+53.174490,87C5FFFF,1,0
346.373906,+53.174490,347.389581,+53.177412,87C5FFFF,1,0
347.389581,+53.177412,348.405324,+53.180125,87C5FFFF,1,0
348.405324,+53.180125,349.421132,+53.182628,87C5FFFF,1,0
349.421132,+53.182628,350.436996,+53.184919,87C5FFFF,1,0
350.436996,+53.184919,351.452913,+53.186999,87C5FFFF,1,0
351.452913,+53.186999,351.455588,+52.687001,87C5FFFF,1,0
351.455588,+52.687001,351.460755,+51.687006,87C5FFFF,1,0
351.460755,+51.687006,351.4657,+50.687011,87C5FFFF,1,0
351.4657,+50.687011,352.480287,+50.688875,87C5FFFF,1,0
352.480287,+50.688875,353.494913,+50.690527,87C5FFFF,1,0
353.494913,+50.690527,354.509574,+50.691965,87C5FFFF,1,0
