ra,dec,constellation
344.465238,+35.168228,AND
344.462687,+35.668224,AND
344.457486,+36.668215,AND
344.452147,+37.668206,AND
344.446664,+38.668197,AND
344.441025,+39.668187,AND
344.43522,+40.668177,AND
344.429238,+41.668167,AND
344.423069,+42.668157,AND
344.416696,+43.668146,AND
344.410107,+44.668135,AND
344.403288,+45.668123,AND
344.39622,+46.668111,AND
344.388886,+47.668099,AND
344.381267,+48.668086,AND
344.373338,+49.668073,AND
344.365075,+50.668059,AND
344.356454,+51.668044,AND
344.347443,+52.668029,AND
344.342781,+53.168021,AND
345.358304,+53.171359,AND
346.373906,+53.174490,AND
347.389581,+53.177412,AND
348.405324,+53.180125,AND
349.421132,+53.182628,AND
350.436996,+53.184919,AND
351.452913,+53.186999,AND
351.455588,+52.687001,AND
351.460755,+51.687006,AND
351.4657,+50.687011,AND
352.480287,+50.688875,AND
353.494913,+50.690527,AND
354.509574,+50.691965,AND
355.270589,+50.692903,AND
355.273404,+49.692905,AND
355.276106,+48.692907,AND
355.529528,+48.693192,AND
356.543232,+48.694201,AND
357.556955,+48.694996,AND
358.570691,+48.695576,AND
359.584437,+48.695941,AND
0.59819,+48.696092,AND
1.611942,+48.696027,AND
2.625692,+48.695748,AND
3.639432,+48.695253,AND
4.146298,+48.694926,AND
4.144725,+47.694926,AND
4.14321,+46.694927,AND
4.649606,+46.694546,AND
5.662383,+46.693623,AND
6.675141,+46.692487,AND
7.687876,+46.691136,AND
8.700582,+46.689573,AND
9.713258,+46.687797,AND
10.725896,+46.685809,AND
11.738495,+46.683609,AND
12.751049,+46.681199,AND
13.763553,+46.678578,AND
14.776007,+46.675749,AND
14.78228,+47.675740,AND
14.788797,+48.675730,AND
15.8021,+48.672689,AND
16.815338,+48.669441,AND
17.828507,+48.665986,AND
18.588336,+48.663260,AND
18.596904,+49.663245,AND
18.605832,+50.663228,AND
18.85934,+50.662293,AND
19.873317,+50.658425,AND
20.887206,+50.654354,AND
21.901002,+50.650081,AND
22.407866,+50.647869,AND
22.914702,+50.645607,AND
23.928303,+50.640934,AND
24.941796,+50.636064,AND
25.955181,+50.630998,AND
26.968452,+50.625737,AND
26.955587,+49.625771,AND
26.943237,+48.625803,AND
26.931367,+47.625835,AND
27.943197,+47.620388,AND
28.954916,+47.614750,AND
29.96652,+47.608924,AND
30.978009,+47.602910,AND
31.989378,+47.596710,AND
32.62142,+47.592743,AND
32.63562,+48.592698,AND
32.650394,+49.592651,AND
32.665785,+50.592602,AND
32.673729,+51.092577,AND
33.053484,+51.090158,AND
34.066067,+51.083585,AND
35.078499,+51.076831,AND
36.090779,+51.069901,AND
37.102902,+51.062795,AND
38.114865,+51.055516,AND
39.126665,+51.048067,AND
39.885404,+51.042369,AND
39.87593,+50.542405,AND
39.857571,+49.542474,AND
39.839948,+48.542541,AND
39.823008,+47.542605,AND
39.806703,+46.542667,AND
39.790986,+45.542727,AND
39.77582,+44.542784,AND
39.761166,+43.542839,AND
39.74699,+42.542893,AND
39.73326,+41.542945,AND
39.719949,+40.542995,AND
39.707031,+39.543044,AND
39.694478,+38.543092,AND
39.68227,+37.543138,AND
39.679269,+37.293149,AND
38.923893,+37.298822,AND
37.916636,+37.306237,AND
36.909279,+37.313483,AND
35.901824,+37.320556,AND
34.894272,+37.327454,AND
33.886627,+37.334175,AND
32.878893,+37.340717,AND
31.871068,+37.347078,AND
31.863759,+36.597101,AND
31.854231,+35.597131,AND
30.846814,+35.603306,AND
29.839319,+35.609296,AND
28.831749,+35.615099,AND
27.824105,+35.620714,AND
26.816388,+35.626139,AND
25.808604,+35.631371,AND
24.800754,+35.636410,AND
23.79284,+35.641253,AND
22.910865,+35.645330,AND
22.904081,+34.645345,AND
22.897457,+33.645360,AND
22.771529,+33.645930,AND
21.764078,+33.650376,AND
20.756574,+33.654623,AND
19.749021,+33.658669,AND
18.74142,+33.662512,AND
17.733774,+33.666153,AND
16.726086,+33.669589,AND
