ra_start,dec_start,ra_end,dec_end,colour,width,constellation
343,34.5,343,36.5,87C5FF3F,1,AND
343,36.5,343,38.5,87C5FF3F,1,AND
343,38.5,343,40.5,87C5FF3F,1,AND
343,40.5,343,42.5,87C5FF3F,1,AND
343,42.5,343,44.5,87C5FF3F,1,AND
343,44.5,343,46.5,87C5FF3F,1,AND
343,46.5,343,48.5,87C5FF3F,1,AND
343,48.5,343,50.5,87C5FF3F,1,AND
343,50.5,343,52.5,87C5FF3F,1,AND
343,52.5,344.75,52.5,87C5FF3F,1,AND
344.75,52.5,346.5,52.5,87C5FF3F,1,AND
346.5,52.5,348.25,52.5,87C5FF3F,1,AND
348.25,52.5,350,52.5,87C5FF3F,1,AND
350,50,350,51.25,87C5FF3F,1,AND
350,51.25,350,52.5,87C5FF3F,1,AND
350,50,351.875,50,87C5FF3F,1,AND
351.875,50,353.75,50,87C5FF3F,1,AND
353.75,48,353.75,50,87C5FF3F,1,AND
353.75,48,355.5,48,87C5FF3F,1,AND
355.5,48,357.25,48,87C5FF3F,1,AND
357.25,48,359,48,87C5FF3F,1,AND
359,48,0.75,48,87C5FF3F,1,AND
0.75,48,2.5,48,87C5FF3F,1,AND
2.5,46,2.5,48,87C5FF3F,1,AND
2.5,46,4.25,46,87C5FF3F,1,AND
4.25,46,6,46,87C5FF3F,1,AND
6,46,7.75,46,87C5FF3F,1,AND
7.75,46,9.5,46,87C5FF3F,1,AND
9.5,46,11.25,46,87C5FF3F,1,AND
11.25,46,13,46,87C5FF3F,1,AND
13,46,13,48,87C5FF3F,1,AND
13,48,14.875,48,87C5FF3F,1,AND
14.875,48,16.75,48,87C5FF3F,1,AND
16.75,48,16.75,50,87C5FF3F,1,AND
16.75,50,18.625,50,87C5FF3F,1,AND
18.625,50,20.5,50,87C5FF3F,1,AND
20.5,50,22,50,87C5FF3F,1,AND
22,50,23.5,50,87C5FF3F,1,AND
23.5,50,25,50,87C5FF3F,1,AND
25,47,25,48.5,87C5FF3F,1,AND
25,48.5,25,50,87C5FF3F,1,AND
25,47,26.875,47,87C5FF3F,1,AND
26.875,47,28.75,47,87C5FF3F,1,AND
28.75,47,30.625,47,87C5FF3F,1,AND
30.625,47,30.625,48.75,87C5FF3F,1,AND
30.625,48.75,30.625,50.5,87C5FF3F,1,AND
30.625,50.5,32.40625,50.5,87C5FF3F,1,AND
32.40625,50.5,34.1875,50.5,87C5FF3F,1,AND
34.1875,50.5,35.96875,50.5,87C5FF3F,1,AND
35.96875,50.5,37.75,50.5,87C5FF3F,1,AND
37.75,36.75,37.75,38.714285714285715,87C5FF3F,1,AND
37.75,38.714285714285715,37.75,40.67857142857143,87C5FF3F,1,AND
37.75,40.67857142857143,37.75,42.64285714285714,87C5FF3F,1,AND
37.75,42.64285714285714,37.75,44.607142857142854,87C5FF3F,1,AND
37.75,44.607142857142854,37.75,46.57142857142857,87C5FF3F,1,AND
37.75,46.57142857142857,37.75,48.535714285714285,87C5FF3F,1,AND
37.75,48.535714285714285,37.75,50.5,87C5FF3F,1,AND
30,36.75,31.9375,36.75,87C5FF3F,1,AND
31.9375,36.75,33.875,36.75,87C5FF3F,1,AND
33.875,36.75,35.8125,36.75,87C5FF3F,1,AND
35.8125,36.75,37.75,36.75,87C5FF3F,1,AND
30,35,30,36.75,87C5FF3F,1,AND
21.125,35,22.9,35,87C5FF3F,1,AND
22.9,35,24.675,35,87C5FF3F,1,AND
24.675,35,26.45,35,87C5FF3F,1,AND
26.45,35,28.225,35,87C5FF3F,1,AND
28.225,35,30,35,87C5FF3F,1,AND
21.125,33,21.125,35,87C5FF3F,1,AND
10.75,33,12.479166666666666,33,87C5FF3F,1,AND
12.479166666666666,33,14.208333333333334,33,87C5FF3F,1,AND
14.208333333333334,33,15.9375,33,87C5FF3F,1,AND
15.9375,33,17.666666666666668,33,87C5FF3F,1,AND
17.666666666666668,33,19.395833333333336,33,87C5FF3F,1,AND
19.395833333333336,33,21.125,33,87C5FF3F,1,AND
10.75,23.75,10.75,25.6,87C5FF3F,1,AND
10.75,25.6,10.75,27.45,87C5FF3F,1,AND
10.75,27.45,10.75,29.3,87C5FF3F,1,AND
10.75,29.3,10.75,31.15,87C5FF3F,1,AND
10.75,31.15,10.75,33,87C5FF3F,1,AND
10.75,23.75,12.75,23.75,87C5FF3F,1,AND
12.75,21,12.75,22.375,87C5FF3F,1,AND
12.75,22.375,12.75,23.75,87C5FF3F,1,AND
2.125,21,3.895833333333333,21,87C5FF3F,1,AND
3.895833333333333,21,5.666666666666666,21,87C5FF3F,1,AND
5.666666666666666,21,7.4375,21,87C5FF3F,1,AND
7.4375,21,9.208333333333332,21,87C5FF3F,1,AND
