names,messier,caldwell,ngc,ic,type,constellation,ra,dec,mag,distance,colour
,,1,188,,Open Cluster,Cep,11.1,85.33333333,8.1,4800,6BFFBFFF
Bow Tie Nebula,,2,40,,Planetary Nebula,Cep,3.25,72.53333333,11.6,3500,6BFFBFFF
,,3,4236,,Barred Spiral Galaxy,Dra,184.175,69.46666667,9.7,7000000,6BFFBFFF
Iris Nebula,,4,7023,,Blushing Nebula,Cep,315.45,68.2,6.8,1400,6BFFBFFF
,,5,,342,Spiral Galaxy,Cam,56.7,68.1,9.2,13000000,6BFFBFFF
Cat's Eye Nebula,,6,6543,,Planetary Nebula,Dra,269.65,66.63333333,8.8,3000,6BFFBFFF
,,7,2403,,Spiral Galaxy,Cam,114.225,65.6,8.9,14000000,6BFFBFFF
,,8,559,,Open Cluster,Cas,22.375,63.3,9.5,3700,6BFFBFFF
Cave Nebula,,9,Sh2-155,,Blushing Nebula,Cep,344.2,62.61666667,7.7,2800,6BFFBFFF
,,10,663,,Open Cluster,Cas,26.5,61.25,7.1,7200,6BFFBFFF
Bubble nebula,,11,7635,,Blushing Nebula,Cas,350.175,61.2,7,7100,6BFFBFFF
,,12,6946,,Spiral Galaxy,Cep,308.7,60.15,9.7,18000000,6BFFBFFF
Dragonfly Cluster;E.T. Cluster;Owl Cluster;Kachina Doll Cluster;Phi Cassiopeiae Cluster,,13,457,,Open Cluster,Cas,19.775,58.33333333,6.4,7922,6BFFBFFF
"Double Cluster, h & chi Persei",,14,869/884,,Open Cluster,Per,35,57.13333333,4.3,7300,6BFFBFFF
Blinking Planetary,,15,6826,,Planetary Nebula,Cyg,296.2,50.51666667,9.8,2200,6BFFBFFF
,,16,7243,,Open Cluster,Lac,333.825,49.88333333,6.4,2500,6BFFBFFF
,,17,147,,Elliptical Galaxy,Cas,8.3,48.5,9.3,2300000,6BFFBFFF
,,18,185,,Elliptical Galaxy,Cas,9.75,48.33333333,9.2,2300000,6BFFBFFF
Cocoon Nebula,,19,IC 5146,,Blushing Nebula,Cyg,328.375,47.26666667,10,3300,6BFFBFFF
North America Nebula,,20,7000,,Blushing Nebula,Cyg,314.7,44.33333333,6,1800,6BFFBFFF
,,21,4449,,Irregular Galaxy,CVn,187.05,44.1,9.4,10000000,6BFFBFFF
Blue Snowball,,22,7662,,Planetary Nebula,And,351.475,42.55,9.2,3200,6BFFBFFF
,,23,891,,Barred Spiral Galaxy,And,35.65,42.35,9.9,31000000,6BFFBFFF
