names,messier,ngc,ic,object_type,constellation,ra,dec,mag,distance,colour
Crab Nebula,M1,NGC 1952,,Supernova Remnant,Taurus,83.625,22.01666667,8.4,6300,6BEEFFFF
,M2,NGC 7089,,Globular Cluster,Aquarius,323.375,-0.81666667,6.5,37500,6BEEFFFF
,M3,NGC 5272,,Globular Cluster,Canes Venatici,205.55,28.38333333,6.2,33900,6BEEFFFF
,M4,NGC 6121,,Globular Cluster,Scorpius,245.9,-26.53333333,5.6,7200,6BEEFFFF
,M5,NGC 5904,,Globular Cluster,Serpens Caput,229.65,2.08333333,5.6,24500,6BEEFFFF
Butterfly Cluster,M6,NGC 6405,,Open Cluster,Scorpius,265.025,-32.21666667,5.3,2000,6BEEFFFF
Ptolemy's Cluster,M7,NGC 6475,,Open Cluster,Scorpius,268.475,-34.81666667,4.1,800,6BEEFFFF
Lagoon Nebula,M8,NGC 6523,,Diffuse Nebula,Sagittarius,270.95,-24.38333333,6,5200,6BEEFFFF
,M9,NGC 6333,,Globular Cluster,Ophiuchus,259.8,-18.51666667,7.7,26700,6BEEFFFF
,M10,NGC 6254,,Globular Cluster,Ophiuchus,254.275,-4.1,6.6,14400,6BEEFFFF
Wild Duck Cluster,M11,NGC 6705,,Open Cluster,Scutum,282.775,-6.26666667,6.3,6000,6BEEFFFF
,M12,NGC 6218,,Globular Cluster,Ophiuchus,251.8,-1.95,6.7,16000,6BEEFFFF
Hercules Globular Cluster,M13,NGC 6205,,Globular Cluster,Hercules,250.425,36.46666667,5.8,22800,6BEEFFFF
,M14,NGC 6402,,Globular Cluster,Ophiuchus,264.4,-3.25,7.6,27400,6BEEFFFF
,M15,NGC 7078,,Globular Cluster,Pegasus,322.5,12.16666667,6.2,33600,6BEEFFFF
Eagle Nebula Cluster,M16,NGC 6611,,Open Cluster,Serpens Cauda,274.7,-13.78333333,6.4,7000,6BEEFFFF
Omega Nebula;Swan Nebula;Horseshoe Nebula,M17,NGC 6618,,Diffuse Nebula,Sagittarius,275.2,-16.18333333,7,5000,6BEEFFFF
,M18,NGC 6613,,Open Cluster,Sagittarius,274.975,-17.13333333,7.5,4900,6BEEFFFF
,M19,NGC 6273,,Globular Cluster,Ophiuchus,255.65,-26.26666667,6.8,27100,6BEEFFFF
Trifid Nebula,M20,NGC 6514,,Diffuse Nebula,Sagittarius,270.575,-23.03333333,9,5200,6BEEFFFF
,M21,NGC 6531,,Open Cluster,Sagittarius,271.15,-22.5,6.5,4250,6BEEFFFF
,M22,NGC 6656,,Globular Cluster,Sagittarius,279.1,-23.9,5.1,10100,6BEEFFFF
,M23,NGC 6494,,Open Cluster,Sagittarius,269.2,-19.01666667,6.9,2150,6BEEFFFF
Milky Way Patch,M24,NGC 6603,,Star Cloud,Sagittarius,274.6,-18.41666667,4.6,10000,6BEEFFFF
,M25,,IC 4725,Open Cluster,Sagittarius,277.925,-19.23333333,6.5,2000,6BEEFFFF
,M26,NGC 6694,,Open Cluster,Scutum,281.3,-9.4,8,5000,6BEEFFFF
Dumbbell Nebula,M27,NGC 6853,,Planetary Nebula,Vulpecula,299.9,22.71666667,7.4,1250,6BEEFFFF
,M28,NGC 6626,,Globular Cluster,Sagittarius,276.125,-24.86666667,6.8,17900,6BEEFFFF
,M29,NGC 6913,,Open Cluster,Cygnus,305.975,38.53333333,7.1,4000,6BEEFFFF
,M30,NGC 7099,,Globular Cluster,Capricornus,325.1,-23.18333333,7.2,24800,6BEEFFFF
Andromeda Galaxy,M31,NGC 224,,Spiral Galaxy,Andromeda,10.675,41.26666667,3.4,2900000,6BEEFFFF
Satellite of M31,M32,NGC 221,,Elliptical Galaxy,Andromeda,10.675,40.86666667,8.1,2900000,6BEEFFFF
