ra_start,dec_start,ra_end,dec_end,colour,width,constellation
258.7618928,36.80915527,255.0725258,30.92633926,6B77FFFF,2.0,Her
255.0725258,30.92633926,250.3228213,31.60188695,6B77FFFF,2.0,Her
250.3228213,31.60188695,250.7239107,38.92246103,6B77FFFF,2.0,Her
250.7239107,38.92246103,258.7618928,36.80915527,6B77FFFF,2.0,Her
206.8856088,49.31330288,200.980916,54.92541525,6B77FFFF,2.0,UMa
200.980916,54.92541525,193.5068041,55.95984301,6B77FFFF,2.0,UMa
193.5068041,55.95984301,183.856038,57.03259792,6B77FFFF,2.0,UMa
183.856038,57.03259792,178.4572554,53.69473296,6B77FFFF,2.0,UMa
178.4572554,53.69473296,165.4599615,56.38234478,6B77FFFF,2.0,UMa
165.4599615,56.38234478,165.9326537,61.75111888,6B77FFFF,2.0,UMa
165.9326537,61.75111888,183.856038,57.03259792,6B77FFFF,2.0,UMa
