ra_start,dec_start,ra_end,dec_end,colour,width,constellation
343,34.5,343,43.5,87C5FF3F,1,AND
343,43.5,343,52.5,87C5FF3F,1,AND
343,52.5,350,52.5,87C5FF3F,1,AND
350,50,350,52.5,87C5FF3F,1,AND
350,50,353.75,50,87C5FF3F,1,AND
353.75,48,353.75,50,87C5FF3F,1,AND
353.75,48,2.5,48,87C5FF3F,1,AND
2.5,46,2.5,48,87C5FF3F,1,AND
2.5,46,7.75,46,87C5FF3F,1,AND
7.75,46,13,46,87C5FF3F,1,AND
13,46,13,48,87C5FF3F,1,AND
13,48,16.75,48,87C5FF3F,1,AND
16.75,48,16.75,50,87C5FF3F,1,AND
16.75,50,20.5,50,87C5FF3F,1,AND
20.5,50,25,50,87C5FF3F,1,AND
25,47,25,50,87C5FF3F,1,AND
25,47,30.625,47,87C5FF3F,1,AND
30.625,47,30.625,50.5,87C5FF3F,1,AND
30.625,50.5,37.75,50.5,87C5FF3F,1,AND
37.75,36.75,37.75,43.625,87C5FF3F,1,AND
37.75,43.625,37.75,50.5,87C5FF3F,1,AND
30,36.75,37.75,36.75,87C5FF3F,1,AND
30,35,30,36.75,87C5FF3F,1,AND
21.125,35,30,35,87C5FF3F,1,AND
21.125,33,21.125,35,87C5FF3F,1,AND
10.75,33,15.9375,33,87C5FF3F,1,AND
15.9375,33,21.125,33,87C5FF3F,1,AND
10.75,23.75,10.75,33,87C5FF3F,1,AND
10.75,23.75,12.75,23.75,87C5FF3F,1,AND
12.75,21,12.75,23.75,87C5FF3F,1,AND
2.125,21,7.4375,21,87C5FF3F,1,AND
7.4375,21,12.75,21,87C5FF3F,1,AND
2.125,21,2.125,22,87C5FF3F,1,AND
1,22,2.125,22,87C5FF3F,1,AND
1,22,1,28,87C5FF3F,1,AND
0,28,1,28,87C5FF3F,1,AND
0,28,0,31.33333333,87C5FF3F,1,AND
356.25,31.33333333,0,31.33333333,87C5FF3F,1,AND
356.25,31.33333333,356.25,32.08333333,87C5FF3F,1,AND
352.5,32.08333333,356.25,32.08333333,87C5FF3F,1,AND
352.5,32.08333333,352.5,34.5,87C5FF3F,1,AND
343,34.5,352.5,34.5,87C5FF3F,1,AND
140.5,-35.25,140.5,-29.625,87C5FF3F,1,ANT
140.5,-29.625,140.5,-24,87C5FF3F,1,ANT
140.5,-38.25,140.5,-35.25,87C5FF3F,1,ANT
140.5,-38.25,148.66666666666666,-38.25,87C5FF3F,1,ANT
148.66666666666666,-38.25,156.83333333333334,-38.25,87C5FF3F,1,ANT
156.83333333333334,-38.25,165,-38.25,87C5FF3F,1,ANT
165,-38.25,165,-35,87C5FF3F,1,ANT
162.5,-35,165,-35,87C5FF3F,1,ANT
162.5,-35,162.5,-30.83333333,87C5FF3F,1,ANT
158.75,-30.83333333,162.5,-30.83333333,87C5FF3F,1,ANT
158.75,-30.83333333,158.75,-28.83333333,87C5FF3F,1,ANT
153.75,-28.83333333,158.75,-28.83333333,87C5FF3F,1,ANT
153.75,-28.83333333,153.75,-25.5,87C5FF3F,1,ANT
146.25,-25.5,153.75,-25.5,87C5FF3F,1,ANT
146.25,-25.5,146.25,-24,87C5FF3F,1,ANT
140.5,-24,146.25,-24,87C5FF3F,1,ANT
205,-81.5,214.28571428571428,-81.5,87C5FF3F,1,APS
214.28571428571428,-81.5,223.57142857142858,-81.5,87C5FF3F,1,APS
223.57142857142858,-81.5,232.85714285714286,-81.5,87C5FF3F,1,APS
232.85714285714286,-81.5,242.14285714285714,-81.5,87C5FF3F,1,APS
242.14285714285714,-81.5,251.42857142857144,-81.5,87C5FF3F,1,APS
251.42857142857144,-81.5,260.7142857142857,-81.5,87C5FF3F,1,APS
260.7142857142857,-81.5,270,-81.5,87C5FF3F,1,APS
270,-81.5,270,-75,87C5FF3F,1,APS
270,-75,270,-66.5,87C5FF3F,1,APS
262.5,-66.5,270,-66.5,87C5FF3F,1,APS
255,-66.5,262.5,-66.5,87C5FF3F,1,APS
255,-70,255,-66.5,87C5FF3F,1,APS
221.25,-70,229.6875,-70,87C5FF3F,1,APS
229.6875,-70,238.125,-70,87C5FF3F,1,APS
238.125,-70,246.5625,-70,87C5FF3F,1,APS
246.5625,-70,255,-70,87C5FF3F,1,APS
205,-70,213.125,-70,87C5FF3F,1,APS
213.125,-70,221.25,-70,87C5FF3F,1,APS
205,-75,205,-70,87C5FF3F,1,APS
205,-81.5,205,-75,87C5FF3F,1,APS
308,0,308,2,87C5FF3F,1,AQR
308,2,312.5,2,87C5FF3F,1,AQR
312.5,2,320,2,87C5FF3F,1,AQR
320,2,322,2,87C5FF3F,1,AQR
322,2,322,2.75,87C5FF3F,1,AQR
322,2.75,325,2.75,87C5FF3F,1,AQR
325,1.75,325,2.75,87C5FF3F,1,AQR
325,1.75,330,1.75,87C5FF3F,1,AQR
330,1.75,330,2,87C5FF3F,1,AQR
330,2,335.625,2,87C5FF3F,1,AQR
335.625,2,341.25,2,87C5FF3F,1,AQR
341.25,0,341.25,2,87C5FF3F,1,AQR
341.25,-4,341.25,0,87C5FF3F,1,AQR
341.25,-4,349.375,-4,87C5FF3F,1,AQR
349.375,-4,357.5,-4,87C5FF3F,1,AQR
357.5,-7,357.5,-4,87C5FF3F,1,AQR
357.5,-24.5,357.5,-15.75,87C5FF3F,1,AQR
357.5,-15.75,357.5,-7,87C5FF3F,1,AQR
345,-24.5,351.25,-24.5,87C5FF3F,1,AQR
351.25,-24.5,357.5,-24.5,87C5FF3F,1,AQR
328,-24.5,336.5,-24.5,87C5FF3F,1,AQR
336.5,-24.5,345,-24.5,87C5FF3F,1,AQR
328,-24.5,328,-16.75,87C5FF3F,1,AQR
328,-16.75,328,-9,87C5FF3F,1,AQR
320,-9,328,-9,87C5FF3F,1,AQR
320,-15,320,-9,87C5FF3F,1,AQR
308,-15,314,-15,87C5FF3F,1,AQR
314,-15,320,-15,87C5FF3F,1,AQR
308,-15,308,-9,87C5FF3F,1,AQR
308,-9,308,0,87C5FF3F,1,AQR
278.75,0,278.75,2,87C5FF3F,1,AQL
278.75,2,283,2,87C5FF3F,1,AQL
283,2,283,6.25,87C5FF3F,1,AQL
279.9333333,6.25,283,6.25,87C5FF3F,1,AQL
279.9333333,6.25,279.9333333,12,87C5FF3F,1,AQL
279.9333333,12,283,12,87C5FF3F,1,AQL
283,12,283,18.5,87C5FF3F,1,AQL
283,18.5,285,18.5,87C5FF3F,1,AQL
285,16.16666667,285,18.5,87C5FF3F,1,AQL
285,16.16666667,291.25,16.16666667,87C5FF3F,1,AQL
291.25,16.16666667,297.5,16.16666667,87C5FF3F,1,AQL
297.5,15.75,297.5,16.16666667,87C5FF3F,1,AQL
297.5,15.75,302.125,15.75,87C5FF3F,1,AQL
302.125,8.5,302.125,15.75,87C5FF3F,1,AQL
302.125,8.5,304.5,8.5,87C5FF3F,1,AQL
304.5,2,304.5,8.5,87C5FF3F,1,AQL
304.5,2,308,2,87C5FF3F,1,AQL
308,0,308,2,87C5FF3F,1,AQL
308,-9,308,0,87C5FF3F,1,AQL
300,-9,308,-9,87C5FF3F,1,AQL
300,-11.96666667,300,-9,87C5FF3F,1,AQL
283,-11.96666667,291.5,-11.96666667,87C5FF3F,1,AQL
291.5,-11.96666667,300,-11.96666667,87C5FF3F,1,AQL
283,-11.96666667,283,-4,87C5FF3F,1,AQL
278.75,-4,283,-4,87C5FF3F,1,AQL
