ra_start,dec_start,ra_end,dec_end,colour,width,constellation
2.09653333,29.09082805,9.83165567,30.86122579,6B77FFFF,1.0,And
9.83165567,30.86122579,17.43248991,35.62083048,6B77FFFF,1.0,And
30.97466283,42.32984832,17.43248991,35.62083048,6B77FFFF,1.0,And
17.43248991,35.62083048,14.18790699,38.49925513,6B77FFFF,1.0,And
14.18790699,38.49925513,12.45345723,41.07895474,6B77FFFF,1.0,And
164.1791513,-37.1374629,156.7881495,-31.06780228,6B77FFFF,1.0,Ant
156.7881495,-31.06780228,142.3114062,-35.9513478,6B77FFFF,1.0,Ant
221.9655257,-79.04471242,245.0868128,-78.69565609,6B77FFFF,1.0,Aps
245.0868128,-78.69565609,250.7725818,-77.51657182,6B77FFFF,1.0,Aps
250.7725818,-77.51657182,248.3644341,-78.89695917,6B77FFFF,1.0,Aps
298.8281923,6.40793334,297.6945086,8.86738491,6B77FFFF,1.0,Aql
297.6945086,8.86738491,296.5648757,10.61326869,6B77FFFF,1.0,Aql
297.6945086,8.86738491,291.3739694,3.11457923,6B77FFFF,1.0,Aql
291.3739694,3.11457923,298.1181826,1.00567827,6B77FFFF,1.0,Aql
302.8261033,-0.82147569,298.1181826,1.00567827,6B77FFFF,1.0,Aql
291.3739694,3.11457923,286.3525518,13.86370983,6B77FFFF,1.0,Aql
286.3525518,13.86370983,284.9057884,15.06847757,6B77FFFF,1.0,Aql
291.3739694,3.11457923,286.5622914,-4.88233456,6B77FFFF,1.0,Aql
322.8896695,-5.57115593,331.4459387,-0.31982656,6B77FFFF,1.0,Aqr
331.4459387,-0.31982656,335.4137498,-1.38735315,6B77FFFF,1.0,Aqr
335.4137498,-1.38735315,337.2075023,-0.02006304,6B77FFFF,1.0,Aqr
337.2075023,-0.02006304,338.8388705,-0.11736123,6B77FFFF,1.0,Aqr
338.8388705,-0.11736123,343.1536019,-7.57967878,6B77FFFF,1.0,Aqr
343.1536019,-7.57967878,348.9719873,-9.08769554,6B77FFFF,1.0,Aqr
348.9719873,-9.08769554,350.7429228,-20.10034505,6B77FFFF,1.0,Aqr
331.4459387,-0.31982656,334.2081933,-7.78323706,6B77FFFF,1.0,Aqr
334.2081933,-7.78323706,331.6091889,-13.86954013,6B77FFFF,1.0,Aqr
334.2081933,-7.78323706,337.6617292,-10.67788619,6B77FFFF,1.0,Aqr
337.6617292,-10.67788619,342.3979576,-13.59253756,6B77FFFF,1.0,Aqr
342.3979576,-13.59253756,343.6626635,-15.82075994,6B77FFFF,1.0,Aqr
343.6626635,-15.82075994,347.3615088,-21.17248555,6B77FFFF,1.0,Aqr
311.9188857,-9.49568988,322.8896695,-5.57115593,6B77FFFF,1.0,Aqr
271.6578283,-50.09145462,262.9605066,-49.87598159,6B77FFFF,1.0,Ara
262.9605066,-49.87598159,254.8960277,-53.16049005,6B77FFFF,1.0,Ara
254.8960277,-53.16049005,254.6551282,-55.99005508,6B77FFFF,1.0,Ara
254.6551282,-55.99005508,252.4462976,-59.04131648,6B77FFFF,1.0,Ara
252.4462976,-59.04131648,262.774904,-60.68360667,6B77FFFF,1.0,Ara
262.774904,-60.68360667,261.3485827,-56.37768824,6B77FFFF,1.0,Ara
261.3485827,-56.37768824,261.3249883,-55.52982397,6B77FFFF,1.0,Ara
261.3249883,-55.52982397,262.9605066,-49.87598159,6B77FFFF,1.0,Ara
42.49578911,27.26079044,31.79285757,23.46277743,6B77FFFF,1.0,Ari
31.79285757,23.46277743,28.65978771,20.80829949,6B77FFFF,1.0,Ari
28.65978771,20.80829949,28.38235506,19.29409264,6B77FFFF,1.0,Ari
89.93015897,37.21276409,89.88237261,44.94743492,6B77FFFF,1.0,Aur
89.88237261,44.94743492,79.17206517,45.99902927,6B77FFFF,1.0,Aur
79.17206517,45.99902927,75.61950025,41.07588953,6B77FFFF,1.0,Aur
75.61950025,41.07588953,74.24840098,33.16613537,6B77FFFF,1.0,Aur
81.57290804,28.60787346,74.24840098,33.16613537,6B77FFFF,1.0,Aur
81.57290804,28.60787346,89.93015897,37.21276409,6B77FFFF,1.0,Aur
220.2871682,13.72833113,213.918114,19.18726997,6B77FFFF,1.0,Boo
213.918114,19.18726997,221.2468787,27.07417383,6B77FFFF,1.0,Boo
221.2468787,27.07417383,228.8754324,33.31510222,6B77FFFF,1.0,Boo
228.8754324,33.31510222,225.486638,40.39063671,6B77FFFF,1.0,Boo
225.486638,40.39063671,218.0198242,38.30788348,6B77FFFF,1.0,Boo
218.0198242,38.30788348,217.957741,30.37114497,6B77FFFF,1.0,Boo
217.957741,30.37114497,213.918114,19.18726997,6B77FFFF,1.0,Boo
213.918114,19.18726997,208.6713175,18.39858742,6B77FFFF,1.0,Boo
208.6713175,18.39858742,206.8168194,17.45677436,6B77FFFF,1.0,Boo
218.0198242,38.30788348,214.0965682,46.08791894,6B77FFFF,1.0,Boo
214.0965682,46.08791894,213.3706246,51.78999066,6B77FFFF,1.0,Boo
213.3706246,51.78999066,216.3000806,51.85171354,6B77FFFF,1.0,Boo
216.3000806,51.85171354,214.0965682,46.08791894,6B77FFFF,1.0,Boo
67.70874038,-44.95374351,70.14092957,-41.86357034,6B77FFFF,1.0,Cae
70.14092957,-41.86357034,70.51435953,-37.14476616,6B77FFFF,1.0,Cae
70.51435953,-37.14476616,76.10129897,-35.48287057,6B77FFFF,1.0,Cae
52.26722684,59.94033461,59.3559814,63.07224944,6B77FFFF,1.0,Cam
59.3559814,63.07224944,73.51254425,66.34266029,6B77FFFF,1.0,Cam
52.26722684,59.94033461,57.58948256,71.33236777,6B77FFFF,1.0,Cam
57.58948256,71.33236777,73.51254425,66.34266029,6B77FFFF,1.0,Cam
57.58948256,71.33236777,80.64073869,79.23075701,6B77FFFF,1.0,Cam
304.5134103,-12.54485877,305.2526935,-14.78140119,6B77FFFF,1.0,Cap
305.2526935,-14.78140119,316.4865808,-17.23271095,6B77FFFF,1.0,Cap
316.4865808,-17.23271095,320.5615726,-16.83455521,6B77FFFF,1.0,Cap
320.5615726,-16.83455521,325.0222594,-16.66225343,6B77FFFF,1.0,Cap
325.0222594,-16.66225343,326.759522,-16.12656595,6B77FFFF,1.0,Cap
320.5615726,-16.83455521,321.6667821,-22.41137838,6B77FFFF,1.0,Cap
321.6667821,-22.41137838,316.4865808,-17.23271095,6B77FFFF,1.0,Cap
305.2526935,-14.78140119,311.5240255,-25.27051682,6B77FFFF,1.0,Cap
316.4865808,-17.23271095,312.9554008,-26.91912642,6B77FFFF,1.0,Cap
138.3010033,-69.71747245,153.4344955,-70.03792169,6B77FFFF,1.0,Car
153.4344955,-70.03792169,160.739278,-64.39447937,6B77FFFF,1.0,Car
160.739278,-64.39447937,160.8846154,-60.56662705,6B77FFFF,1.0,Car
160.8846154,-60.56662705,167.1474818,-58.97504198,6B77FFFF,1.0,Car
167.1474818,-58.97504198,163.3731926,-58.85326474,6B77FFFF,1.0,Car
163.3731926,-58.85326474,156.9697711,-58.73940856,6B77FFFF,1.0,Car
156.9697711,-58.73940856,154.2708554,-61.33231977,6B77FFFF,1.0,Car
154.2708554,-61.33231977,139.2726183,-59.27526115,6B77FFFF,1.0,Car
130.1543132,-59.76101468,125.628603,-59.50953829,6B77FFFF,1.0,Car
125.628603,-59.50953829,95.98787763,-52.69571799,6B77FFFF,1.0,Car
137.7421054,-58.96693014,139.2726183,-59.27526115,6B77FFFF,1.0,Car
