ra_start,dec_start,ra_end,dec_end,colour,width
0.0,0,5.0,2.163886369827695,6BFF6B10,1.0
5.0,2.163886369827695,10.0,4.305234294973237,6BFF6B10,1.0
10.0,4.305234294973237,15.0,6.402188502043674,6BFF6B10,1.0
15.0,6.402188502043674,20.0,8.43419792858711,6BFF6B10,1.0
20.0,8.43419792858711,25.0,10.38252256587029,6BFF6B10,1.0
25.0,10.38252256587029,30.0,12.23059163788399,6BFF6B10,1.0
30.0,12.23059163788399,35.0,13.964199617704272,6BFF6B10,1.0
35.0,13.964199617704272,40.0,15.571546512968181,6BFF6B10,1.0
40.0,15.571546512968181,45.0,17.0431443504396,6BFF6B10,1.0
45.0,17.0431443504396,50.0,18.371621156672706,6BFF6B10,1.0
50.0,18.371621156672706,55.0,19.551456968140304,6BFF6B10,1.0
55.0,19.551456968140304,60.0,20.578684722855115,6BFF6B10,1.0
60.0,20.578684722855115,65.0,21.450584050226517,6BFF6B10,1.0
65.0,21.450584050226517,70.0,22.165389729723653,6BFF6B10,1.0
70.0,22.165389729723653,75.0,22.722030303755133,6BFF6B10,1.0
75.0,22.722030303755133,80.0,23.11990688196639,6BFF6B10,1.0
80.0,23.11990688196639,85.0,23.358717977304572,6BFF6B10,1.0
85.0,23.358717977304572,90.0,23.438333333333333,6BFF6B10,1.0
90.0,23.438333333333333,95.0,23.358717977304572,6BFF6B10,1.0
95.0,23.358717977304572,100.0,23.11990688196639,6BFF6B10,1.0
100.0,23.11990688196639,105.0,22.722030303755133,6BFF6B10,1.0
105.0,22.722030303755133,110.0,22.165389729723657,6BFF6B10,1.0
110.0,22.165389729723657,115.0,21.45058405022652,6BFF6B10,1.0
115.0,21.45058405022652,120.0,20.57868472285512,6BFF6B10,1.0
120.0,20.57868472285512,125.0,19.55145696814031,6BFF6B10,1.0
125.0,19.55145696814031,130.0,18.371621156672706,6BFF6B10,1.0
130.0,18.371621156672706,135.0,17.043144350439604,6BFF6B10,1.0
135.0,17.043144350439604,140.0,15.571546512968188,6BFF6B10,1.0
140.0,15.571546512968188,145.0,13.96419961770428,6BFF6B10,1.0
145.0,13.96419961770428,150.0,12.23059163788399,6BFF6B10,1.0
150.0,12.23059163788399,155.0,10.38252256587029,6BFF6B10,1.0
155.0,10.38252256587029,160.0,8.434197928587114,6BFF6B10,1.0
160.0,8.434197928587114,165.0,6.402188502043681,6BFF6B10,1.0
165.0,6.402188502043681,170.0,4.305234294973236,6BFF6B10,1.0
170.0,4.305234294973236,175.0,2.163886369827707,6BFF6B10,1.0
175.0,2.163886369827707,180.0,3.0419764502954422e-15,6BFF6B10,1.0
180.0,3.0419764502954422e-15,185.0,-2.1638863698276896,6BFF6B10,1.0
185.0,-2.1638863698276896,190.0,-4.305234294973239,6BFF6B10,1.0
190.0,-4.305234294973239,195.0,-6.402188502043665,6BFF6B10,1.0
195.0,-6.402188502043665,200.0,-8.434197928587107,6BFF6B10,1.0
200.0,-8.434197928587107,205.0,-10.382522565870287,6BFF6B10,1.0
205.0,-10.382522565870287,210.0,-12.230591637883997,6BFF6B10,1.0
210.0,-12.230591637883997,215.0,-13.964199617704267,6BFF6B10,1.0
215.0,-13.964199617704267,220.0,-15.571546512968181,6BFF6B10,1.0
220.0,-15.571546512968181,225.0,-17.0431443504396,6BFF6B10,1.0
225.0,-17.0431443504396,230.0,-18.371621156672703,6BFF6B10,1.0
230.0,-18.371621156672703,235.0,-19.5514569681403,6BFF6B10,1.0
235.0,-19.5514569681403,240.0,-20.57868472285511,6BFF6B10,1.0
240.0,-20.57868472285511,245.0,-21.450584050226517,6BFF6B10,1.0
245.0,-21.450584050226517,250.0,-22.165389729723653,6BFF6B10,1.0
250.0,-22.165389729723653,255.0,-22.722030303755133,6BFF6B10,1.0
255.0,-22.722030303755133,260.0,-23.11990688196639,6BFF6B10,1.0
260.0,-23.11990688196639,265.0,-23.358717977304572,6BFF6B10,1.0
265.0,-23.358717977304572,270.0,-23.438333333333333,6BFF6B10,1.0
270.0,-23.438333333333333,275.0,-23.358717977304572,6BFF6B10,1.0
275.0,-23.358717977304572,280.0,-23.119906881966394,6BFF6B10,1.0
280.0,-23.119906881966394,285.0,-22.722030303755133,6BFF6B10,1.0
285.0,-22.722030303755133,290.0,-22.165389729723657,6BFF6B10,1.0
290.0,-22.165389729723657,295.0,-21.450584050226517,6BFF6B10,1.0
295.0,-21.450584050226517,300.0,-20.578684722855115,6BFF6B10,1.0
300.0,-20.578684722855115,305.0,-19.551456968140304,6BFF6B10,1.0
305.0,-19.551456968140304,310.0,-18.371621156672706,6BFF6B10,1.0
310.0,-18.371621156672706,315.0,-17.043144350439608,6BFF6B10,1.0
315.0,-17.043144350439608,320.0,-15.57154651296819,6BFF6B10,1.0
320.0,-15.57154651296819,325.0,-13.964199617704281,6BFF6B10,1.0
325.0,-13.964199617704281,330.0,-12.230591637884,6BFF6B10,1.0
330.0,-12.230591637884,335.0,-10.382522565870305,6BFF6B10,1.0
335.0,-10.382522565870305,340.0,-8.434197928587107,6BFF6B10,1.0
340.0,-8.434197928587107,345.0,-6.402188502043673,6BFF6B10,1.0
345.0,-6.402188502043673,350.0,-4.30523429497326,6BFF6B10,1.0
350.0,-4.30523429497326,355.0,-2.163886369827699,6BFF6B10,1.0
355.0,-2.163886369827699,0.0,-6.0839529005908845e-15,6BFF6B10,1.0
