ra_start,dec_start,ra_end,dec_end,colour,width
0.0,62.281857649668915,5.0,62.652708552727944,A66BFF10,1.0
5.0,62.652708552727944,10.0,62.83986173615032,A66BFF10,1.0
10.0,62.83986173615032,15.0,62.84872714395561,A66BFF10,1.0
15.0,62.84872714395561,20.0,62.679559646584266,A66BFF10,1.0
20.0,62.679559646584266,25.0,62.32747405244888,A66BFF10,1.0
25.0,62.32747405244888,30.0,61.7821565136162,A66BFF10,1.0
30.0,61.7821565136162,35.0,61.02724976148271,A66BFF10,1.0
35.0,61.02724976148271,40.0,60.0393658022044,A66BFF10,1.0
40.0,60.0393658022044,45.0,58.7866574188962,A66BFF10,1.0
45.0,58.7866574188962,50.0,57.22686532276453,A66BFF10,1.0
50.0,57.22686532276453,55.0,55.304768457735385,A66BFF10,1.0
55.0,55.304768457735385,60.0,52.949043207615475,A66BFF10,1.0
60.0,52.949043207615475,65.0,50.068778673956416,A66BFF10,1.0
65.0,50.068778673956416,70.0,46.55049852261411,A66BFF10,1.0
70.0,46.55049852261411,75.0,42.25786815407579,A66BFF10,1.0
75.0,42.25786815407579,80.0,37.03880976552674,A66BFF10,1.0
80.0,37.03880976552674,85.0,30.748556654379545,A66BFF10,1.0
85.0,30.748556654379545,90.0,23.299736645303426,A66BFF10,1.0
90.0,23.299736645303426,95.0,14.74282924843683,A66BFF10,1.0
95.0,14.74282924843683,100.0,5.348619297293787,A66BFF10,1.0
100.0,5.348619297293787,105.0,-4.380899164945244,A66BFF10,1.0
105.0,-4.380899164945244,110.0,-13.834440509746308,A66BFF10,1.0
110.0,-13.834440509746308,115.0,-22.491382867574963,A66BFF10,1.0
115.0,-22.491382867574963,120.0,-30.056363428617377,A66BFF10,1.0
120.0,-30.056363428617377,125.0,-36.46010061138097,A66BFF10,1.0
125.0,-36.46010061138097,130.0,-41.78021163560714,A66BFF10,1.0
130.0,-41.78021163560714,135.0,-46.15851013098452,A66BFF10,1.0
135.0,-46.15851013098452,140.0,-49.747738812977474,A66BFF10,1.0
140.0,-49.747738812977474,145.0,-52.68630906467039,A66BFF10,1.0
145.0,-52.68630906467039,150.0,-55.09004418735089,A66BFF10,1.0
150.0,-55.09004418735089,155.0,-57.051998749822005,A66BFF10,1.0
155.0,-57.051998749822005,160.0,-58.64529708302377,A66BFF10,1.0
160.0,-58.64529708302377,165.0,-59.92662033167642,A66BFF10,1.0
165.0,-59.92662033167642,170.0,-60.9393989865724,A66BFF10,1.0
170.0,-60.9393989865724,175.0,-61.71642420692832,A66BFF10,1.0
175.0,-61.71642420692832,180.0,-62.281857649668915,A66BFF10,1.0
180.0,-62.281857649668915,185.0,-62.652708552727944,A66BFF10,1.0
185.0,-62.652708552727944,190.0,-62.83986173615032,A66BFF10,1.0
190.0,-62.83986173615032,195.0,-62.84872714395561,A66BFF10,1.0
195.0,-62.84872714395561,200.0,-62.679559646584266,A66BFF10,1.0
200.0,-62.679559646584266,205.0,-62.32747405244888,A66BFF10,1.0
205.0,-62.32747405244888,210.0,-61.78215651361619,A66BFF10,1.0
210.0,-61.78215651361619,215.0,-61.02724976148271,A66BFF10,1.0
215.0,-61.02724976148271,220.0,-60.0393658022044,A66BFF10,1.0
220.0,-60.0393658022044,225.0,-58.7866574188962,A66BFF10,1.0
225.0,-58.7866574188962,230.0,-57.22686532276453,A66BFF10,1.0
230.0,-57.22686532276453,235.0,-55.3047684577354,A66BFF10,1.0
235.0,-55.3047684577354,240.0,-52.949043207615496,A66BFF10,1.0
240.0,-52.949043207615496,245.0,-50.06877867395641,A66BFF10,1.0
245.0,-50.06877867395641,250.0,-46.550498522614106,A66BFF10,1.0
250.0,-46.550498522614106,255.0,-42.257868154075766,A66BFF10,1.0
255.0,-42.257868154075766,260.0,-37.038809765526736,A66BFF10,1.0
260.0,-37.038809765526736,265.0,-30.748556654379556,A66BFF10,1.0
265.0,-30.748556654379556,270.0,-23.299736645303437,A66BFF10,1.0
270.0,-23.299736645303437,275.0,-14.742829248436866,A66BFF10,1.0
275.0,-14.742829248436866,280.0,-5.348619297293825,A66BFF10,1.0
280.0,-5.348619297293825,285.0,4.380899164945181,A66BFF10,1.0
285.0,4.380899164945181,290.0,13.834440509746342,A66BFF10,1.0
290.0,13.834440509746342,295.0,22.491382867574995,A66BFF10,1.0
295.0,22.491382867574995,300.0,30.056363428617402,A66BFF10,1.0
300.0,30.056363428617402,305.0,36.460100611380966,A66BFF10,1.0
305.0,36.460100611380966,310.0,41.78021163560713,A66BFF10,1.0
310.0,41.78021163560713,315.0,46.15851013098452,A66BFF10,1.0
315.0,46.15851013098452,320.0,49.74773881297747,A66BFF10,1.0
320.0,49.74773881297747,325.0,52.68630906467037,A66BFF10,1.0
325.0,52.68630906467037,330.0,55.09004418735088,A66BFF10,1.0
330.0,55.09004418735088,335.0,57.05199874982201,A66BFF10,1.0
335.0,57.05199874982201,340.0,58.64529708302377,A66BFF10,1.0
340.0,58.64529708302377,345.0,59.92662033167642,A66BFF10,1.0
345.0,59.92662033167642,350.0,60.9393989865724,A66BFF10,1.0
350.0,60.9393989865724,355.0,61.71642420692832,A66BFF10,1.0
355.0,61.71642420692832,0.0,62.281857649668915,A66BFF10,1.0

