ra_start,dec_start,ra_end,dec_end,colour,width
0.0,-90.0,0.0,-85.0,D90D0D23,2.0
0.0,-85.0,0.0,-80.0,D90D0D23,2.0
0.0,-80.0,0.0,-75.0,D90D0D23,2.0
0.0,-75.0,0.0,-70.0,D90D0D23,2.0
0.0,-70.0,0.0,-65.0,D90D0D23,2.0
0.0,-65.0,0.0,-60.0,D90D0D23,2.0
0.0,-60.0,0.0,-55.0,D90D0D23,2.0
0.0,-55.0,0.0,-50.0,D90D0D23,2.0
0.0,-50.0,0.0,-45.0,D90D0D23,2.0
0.0,-45.0,0.0,-40.0,D90D0D23,2.0
0.0,-40.0,0.0,-35.0,D90D0D23,2.0
0.0,-35.0,0.0,-30.0,D90D0D23,2.0
0.0,-30.0,0.0,-25.0,D90D0D23,2.0
0.0,-25.0,0.0,-20.0,D90D0D23,2.0
0.0,-20.0,0.0,-15.0,D90D0D23,2.0
0.0,-15.0,0.0,-10.0,D90D0D23,2.0
0.0,-10.0,0.0,-5.0,D90D0D23,2.0
0.0,-5.0,0.0,0.0,D90D0D23,2.0
0.0,0.0,0.0,5.0,D90D0D23,2.0
0.0,5.0,0.0,10.0,D90D0D23,2.0
0.0,10.0,0.0,15.0,D90D0D23,2.0
0.0,15.0,0.0,20.0,D90D0D23,2.0
0.0,20.0,0.0,25.0,D90D0D23,2.0
0.0,25.0,0.0,30.0,D90D0D23,2.0
0.0,30.0,0.0,35.0,D90D0D23,2.0
0.0,35.0,0.0,40.0,D90D0D23,2.0
0.0,40.0,0.0,45.0,D90D0D23,2.0
0.0,45.0,0.0,50.0,D90D0D23,2.0
0.0,50.0,0.0,55.0,D90D0D23,2.0
0.0,55.0,0.0,60.0,D90D0D23,2.0
0.0,60.0,0.0,65.0,D90D0D23,2.0
0.0,65.0,0.0,70.0,D90D0D23,2.0
0.0,70.0,0.0,75.0,D90D0D23,2.0
0.0,75.0,0.0,80.0,D90D0D23,2.0
0.0,80.0,0.0,85.0,D90D0D23,2.0
0.0,85.0,0.0,90.0,D90D0D23,2.0
180.0,-90.0,180.0,-85.0,D90D0D23,2.0
180.0,-85.0,180.0,-80.0,D90D0D23,2.0
180.0,-80.0,180.0,-75.0,D90D0D23,2.0
180.0,-75.0,180.0,-70.0,D90D0D23,2.0
180.0,-70.0,180.0,-65.0,D90D0D23,2.0
180.0,-65.0,180.0,-60.0,D90D0D23,2.0
180.0,-60.0,180.0,-55.0,D90D0D23,2.0
180.0,-55.0,180.0,-50.0,D90D0D23,2.0
180.0,-50.0,180.0,-45.0,D90D0D23,2.0
180.0,-45.0,180.0,-40.0,D90D0D23,2.0
180.0,-40.0,180.0,-35.0,D90D0D23,2.0
180.0,-35.0,180.0,-30.0,D90D0D23,2.0
180.0,-30.0,180.0,-25.0,D90D0D23,2.0
180.0,-25.0,180.0,-20.0,D90D0D23,2.0
180.0,-20.0,180.0,-15.0,D90D0D23,2.0
180.0,-15.0,180.0,-10.0,D90D0D23,2.0
180.0,-10.0,180.0,-5.0,D90D0D23,2.0
180.0,-5.0,180.0,0.0,D90D0D23,2.0
180.0,0.0,180.0,5.0,D90D0D23,2.0
180.0,5.0,180.0,10.0,D90D0D23,2.0
180.0,10.0,180.0,15.0,D90D0D23,2.0
180.0,15.0,180.0,20.0,D90D0D23,2.0
180.0,20.0,180.0,25.0,D90D0D23,2.0
180.0,25.0,180.0,30.0,D90D0D23,2.0
180.0,30.0,180.0,35.0,D90D0D23,2.0
180.0,35.0,180.0,40.0,D90D0D23,2.0
180.0,40.0,180.0,45.0,D90D0D23,2.0
180.0,45.0,180.0,50.0,D90D0D23,2.0
180.0,50.0,180.0,55.0,D90D0D23,2.0
180.0,55.0,180.0,60.0,D90D0D23,2.0
180.0,60.0,180.0,65.0,D90D0D23,2.0
180.0,65.0,180.0,70.0,D90D0D23,2.0
180.0,70.0,180.0,75.0,D90D0D23,2.0
180.0,75.0,180.0,80.0,D90D0D23,2.0
180.0,80.0,180.0,85.0,D90D0D23,2.0
180.0,85.0,180.0,90.0,D90D0D23,2.0
