ra,dec,vmag,colour
317.1917255,-88.9565112,5.45,FFFFFFFF
283.698535,-87.60551487,5.29,FFFFFFFF
352.0148612,-87.48224182,5.50,FFFFFFFF
337.9076162,-85.96740206,5.76,FFFFFFFF
205.2340637,-85.78599228,5.56,FFFFFFFF
134.1745136,-85.66323432,5.43,FFFFFFFF
193.7431157,-85.12342237,5.45,FFFFFFFF
3.3314522,-84.99402068,5.78,FFFFFFFF
227.7866406,-84.78782184,5.88,FFFFFFFF
24.3657494,-84.76965017,5.66,FFFFFFFF
235.8170866,-84.46550807,5.57,FFFFFFFF
216.7322531,-83.66785308,4.31,FFFFFFFF
225.461268,-83.22777573,5.65,FFFFFFFF
226.1956796,-83.03826851,5.65,FFFFFFFF
24.47908355,-82.97528876,5.88,FFFFFFFF
327.7260356,-82.71882392,5.27,FFFFFFFF
208.9124541,-82.66613365,5.95,FFFFFFFF
74.71244667,-82.47052255,5.84,FFFFFFFF
2.50945435,-82.22399743,5.29,FFFFFFFF
150.1829356,-82.21474569,5.53,FFFFFFFF
359.3874541,-82.16974335,5.72,FFFFFFFF
358.027891,-82.01876765,5.10,FFFFFFFF
65.24179812,-81.58022679,5.78,FFFFFFFF
341.5155139,-81.38161731,4.13,FFFFFFFF
309.5775207,-81.28897011,5.89,FFFFFFFF
214.5582105,-81.00760147,4.89,FFFFFFFF
308.3233866,-80.96482633,5.76,FFFFFFFF
143.4729383,-80.94129374,5.07,FFFFFFFF
126.0849251,-80.91471955,5.67,FFFFFFFF
262.8644714,-80.85902834,5.83,FFFFFFFF
100.0121195,-80.81372235,5.61,FFFFFFFF
141.0405393,-80.78720514,5.34,FFFFFFFF
161.446399,-80.54020283,4.45,FFFFFFFF
84.28663598,-80.4716745,5.65,FFFFFFFF
161.3182296,-80.4695233,5.46,FFFFFFFF
335.0061676,-80.43964301,5.09,FFFFFFFF
277.3334205,-80.23255408,5.95,FFFFFFFF
64.49656949,-80.21418106,5.67,FFFFFFFF
342.5947752,-80.12381446,5.32,FFFFFFFF
215.5966542,-80.108911,5.06,FFFFFFFF
160.4649004,-79.78330226,5.97,FFFFFFFF
131.4801445,-79.50457035,5.79,FFFFFFFF
104.1436681,-79.42018913,5.45,FFFFFFFF
87.56999717,-79.36152292,5.46,FFFFFFFF
184.5872663,-79.31226899,4.24,FFFFFFFF
37.91716991,-79.10924959,5.27,FFFFFFFF
111.4091187,-79.09420265,5.54,FFFFFFFF
221.9655257,-79.04471242,3.83,FFFFFFFF
46.88292015,-78.98942329,5.67,FFFFFFFF
130.331673,-78.96342637,5.46,FFFFFFFF
248.3644341,-78.89695917,3.86,FFFFFFFF
356.1695088,-78.79144467,5.74,FFFFFFFF
245.0868128,-78.69565609,4.68,FFFFFFFF
245.1119323,-78.66742066,5.27,FFFFFFFF
158.8675767,-78.60781379,4.11,FFFFFFFF
198.5723188,-78.44744492,5.84,FFFFFFFF
52.49552432,-78.35178497,5.68,FFFFFFFF
179.9070471,-78.22181833,4.88,FFFFFFFF
250.7725818,-77.51657182,4.23,FFFFFFFF
334.4612324,-77.51158803,5.49,FFFFFFFF
125.162033,-77.4845764,4.34,FFFFFFFF
5.3697616,-77.42685699,5.96,FFFFFFFF
